Wijk;Totaal misdrijven
Haarlemmerbuurt;52
Jordaan;131
Grachtengordel-West;69
Burgwallen-Nieuwe Zijde;465
Burgwallen-Oude Zijde;230
Nieuwmarkt/Lastage;144
Grachtengordel-Zuid;209
De Weteringschans;170
Weesperbuurt/Plantage;64
Oostelijke Eilanden/Kadijken;84
Havens-West;20
Coenhaven/Minervahaven;26
Sloterdijk-West;40
Spaarndammerbuurt/Zeeheldenbuurt;59
Houthavens;15
De Kolenkit;45
Landlust;110
Erasmuspark;21
Centrale Markt;18
Staatsliedenbuurt;43
Frederik Hendrikbuurt;46
Van Galenbuurt;27
Geuzenbuurt;19
Hoofdweg e.o.;67
Chassébuurt;26
Bellamybuurt;36
Da Costabuurt;35
Westindische Buurt;32
Van Lennepbuurt;28
Overtoomse Sluis;32
Helmersbuurt;62
Vondelparkbuurt;27
Sloterdijk Nieuw-West;133
Geuzenveld;76
Slotermeer-West;51
Slotermeer-Noordoost;58
Slotermeer-Zuidoost;53
Lutkemeer/Ookmeer;24
De Aker;33
De Punt;42
Osdorp-Midden;61
Osdorp-Oost;104
Slotervaart-Noord;24
Overtoomse Veld;75
Slotervaart-Zuid;54
Westlandgracht;91
Sloten/Nieuw-Sloten;49
Hoofddorppleinbuurt;74
Schinkelbuurt;16
Willemspark;33
Museumkwartier;126
Oude Pijp;99
Nieuwe Pijp;86
Zuid Pijp;34
Stadionbuurt;47
Apollobuurt;40
Scheldebuurt;75
IJselbuurt;37
Rijnbuurt;43
Prinses Irenebuurt e.o.;11
Zuidas;124
Buitenveldert-West;67
Buitenveldert-Oost;62
Oostelijk Havengebied;81
Weesperzijde;52
Oosterparkbuurt;77
Transvaalbuurt;41
Dapperbuurt;137
Indische Buurt-West;41
Indische Buurt-Oost;43
Zeeburgereiland/Bovendiep;16
IJburg-West;39
IJburg-Oost;2
IJburg-Zuid;17
Frankendael;88
Middenmeer;59
Betondorp;11
Omval/Overamstel;39
Oostzanerwerf;34
Noordelijke IJ-oevers-West;77
Tuindorp Oostzaan;30
Kadoelen;21
Banne Buiksloot;58
Nieuwendammerdijk/Buiksloterdijk;3
Elzenhagen;24
Buikslotermeer;99
Waterlandpleinbuurt;50
Volewijck;75
IJplein/Vogelbuurt;38
Tuindorp Buiksloot;6
Tuindorp Nieuwendam;16
Noordelijke IJ-oevers-Oost;19
Waterland;7
Driemond;4
Bloemendalerpolder;4
Weesp-Noordwest;30
Weesp Binnenstad/Zuid;35
Aetsveld/Oostelijke Vechtoever;6
Amstel III/Bullewijk;186
Venserpolder;39
Amsterdamse Poort e.o.;147
H-buurt;43
Ganzenhoef e.o.;50
Geerdinkhof/Kantershof;9
Bijlmermuseum;38
K-buurt;27
Holendrecht;36
Nellestein;14
Reigersbos;37
Gein;34
