Wijk;Totaal misdrijven
Haarlemmerbuurt;76
Jordaan;133
Grachtengordel-West;63
Burgwallen-Nieuwe Zijde;463
Burgwallen-Oude Zijde;270
Nieuwmarkt/Lastage;137
Grachtengordel-Zuid;183
De Weteringschans;162
Weesperbuurt/Plantage;65
Oostelijke Eilanden/Kadijken;54
Havens-West;22
Coenhaven/Minervahaven;32
Sloterdijk-West;19
Spaarndammerbuurt/Zeeheldenbuurt;57
Houthavens;12
De Kolenkit;49
Landlust;98
Erasmuspark;30
Centrale Markt;20
Staatsliedenbuurt;57
Frederik Hendrikbuurt;42
Van Galenbuurt;31
Geuzenbuurt;26
Hoofdweg e.o.;58
Chassébuurt;20
Bellamybuurt;39
Da Costabuurt;37
Westindische Buurt;28
Van Lennepbuurt;30
Overtoomse Sluis;29
Helmersbuurt;45
Vondelparkbuurt;36
Sloterdijk Nieuw-West;112
Geuzenveld;56
Slotermeer-West;39
Slotermeer-Noordoost;67
Slotermeer-Zuidoost;49
Lutkemeer/Ookmeer;9
De Aker;34
De Punt;31
Osdorp-Midden;64
Osdorp-Oost;87
Slotervaart-Noord;28
Overtoomse Veld;86
Slotervaart-Zuid;57
Westlandgracht;90
Sloten/Nieuw-Sloten;43
Hoofddorppleinbuurt;56
Schinkelbuurt;20
Willemspark;34
Museumkwartier;104
Oude Pijp;136
Nieuwe Pijp;72
Zuid Pijp;32
Stadionbuurt;69
Apollobuurt;57
Scheldebuurt;71
IJselbuurt;24
Rijnbuurt;40
Prinses Irenebuurt e.o.;10
Zuidas;104
Buitenveldert-West;52
Buitenveldert-Oost;24
Oostelijk Havengebied;62
Weesperzijde;40
Oosterparkbuurt;91
Transvaalbuurt;45
Dapperbuurt;98
Indische Buurt-West;58
Indische Buurt-Oost;52
Zeeburgereiland/Bovendiep;26
IJburg-West;34
IJburg-Oost;0
IJburg-Zuid;19
Frankendael;77
Middenmeer;86
Betondorp;20
Omval/Overamstel;40
Oostzanerwerf;49
Noordelijke IJ-oevers-West;61
Tuindorp Oostzaan;30
Kadoelen;15
Banne Buiksloot;48
Nieuwendammerdijk/Buiksloterdijk;2
Elzenhagen;23
Buikslotermeer;82
Waterlandpleinbuurt;31
Volewijck;47
IJplein/Vogelbuurt;28
Tuindorp Buiksloot;4
Tuindorp Nieuwendam;9
Noordelijke IJ-oevers-Oost;14
Waterland;13
Driemond;3
Bloemendalerpolder;5
Weesp-Noordwest;26
Weesp Binnenstad/Zuid;15
Aetsveld/Oostelijke Vechtoever;13
Amstel III/Bullewijk;128
Venserpolder;33
Amsterdamse Poort e.o.;124
H-buurt;39
Ganzenhoef e.o.;46
Geerdinkhof/Kantershof;10
Bijlmermuseum;36
K-buurt;31
Holendrecht;45
Nellestein;7
Reigersbos;39
Gein;43
