Wijk;Totaal misdrijven
Haarlemmerbuurt;84
Jordaan;174
Grachtengordel-West;124
Burgwallen-Nieuwe Zijde;465
Burgwallen-Oude Zijde;264
Nieuwmarkt/Lastage;205
Grachtengordel-Zuid;218
De Weteringschans;178
Weesperbuurt/Plantage;70
Oostelijke Eilanden/Kadijken;79
Havens-West;22
Coenhaven/Minervahaven;18
Sloterdijk-West;28
Spaarndammerbuurt/Zeeheldenbuurt;105
Houthavens;17
De Kolenkit;41
Landlust;92
Erasmuspark;21
Centrale Markt;21
Staatsliedenbuurt;53
Frederik Hendrikbuurt;50
Van Galenbuurt;22
Geuzenbuurt;42
Hoofdweg e.o.;42
Chassébuurt;17
Bellamybuurt;35
Da Costabuurt;41
Westindische Buurt;30
Van Lennepbuurt;34
Overtoomse Sluis;39
Helmersbuurt;55
Vondelparkbuurt;38
Sloterdijk Nieuw-West;104
Geuzenveld;93
Slotermeer-West;49
Slotermeer-Noordoost;74
Slotermeer-Zuidoost;47
Lutkemeer/Ookmeer;15
De Aker;37
De Punt;49
Osdorp-Midden;98
Osdorp-Oost;82
Slotervaart-Noord;52
Overtoomse Veld;82
Slotervaart-Zuid;62
Westlandgracht;85
Sloten/Nieuw-Sloten;56
Hoofddorppleinbuurt;63
Schinkelbuurt;8
Willemspark;38
Museumkwartier;158
Oude Pijp;135
Nieuwe Pijp;87
Zuid Pijp;35
Stadionbuurt;86
Apollobuurt;59
Scheldebuurt;89
IJselbuurt;28
Rijnbuurt;48
Prinses Irenebuurt e.o.;11
Zuidas;134
Buitenveldert-West;65
Buitenveldert-Oost;45
Oostelijk Havengebied;98
Weesperzijde;62
Oosterparkbuurt;104
Transvaalbuurt;44
Dapperbuurt;121
Indische Buurt-West;53
Indische Buurt-Oost;46
Zeeburgereiland/Bovendiep;36
IJburg-West;39
IJburg-Oost;2
IJburg-Zuid;22
Frankendael;101
Middenmeer;100
Betondorp;11
Omval/Overamstel;58
Oostzanerwerf;48
Noordelijke IJ-oevers-West;79
Tuindorp Oostzaan;50
Kadoelen;17
Banne Buiksloot;60
Nieuwendammerdijk/Buiksloterdijk;2
Elzenhagen;37
Buikslotermeer;76
Waterlandpleinbuurt;45
Volewijck;73
IJplein/Vogelbuurt;45
Tuindorp Buiksloot;2
Tuindorp Nieuwendam;10
Noordelijke IJ-oevers-Oost;10
Waterland;19
Driemond;3
Bloemendalerpolder;8
Weesp-Noordwest;30
Weesp Binnenstad/Zuid;19
Aetsveld/Oostelijke Vechtoever;10
Amstel III/Bullewijk;120
Venserpolder;41
Amsterdamse Poort e.o.;129
H-buurt;41
Ganzenhoef e.o.;47
Geerdinkhof/Kantershof;12
Bijlmermuseum;48
K-buurt;35
Holendrecht;38
Nellestein;17
Reigersbos;34
Gein;47
