Gemeente;Totaal misdrijven
Aa en Hunze;54
Aalsmeer;82
Aalten;39
Achtkarspelen;62
Alblasserdam;43
Albrandswaard;95
Alkmaar;465
Almelo;386
Almere;794
Alphen aan den Rijn;326
Alphen-Chaam;20
Altena;128
Ameland;3
Amersfoort;722
Amstelveen;379
Amsterdam;6 782
Apeldoorn;613
Arnhem;940
Assen;337
Asten;60
Baarle-Nassau;21
Baarn;82
Barendrecht;140
Barneveld;169
Beek (L.);56
Beekdaelen;86
Beesel;30
Berg en Dal;93
Bergeijk;30
Bergen (L.);28
Bergen (NH.);61
Bergen op Zoom;296
Berkelland;72
Bernheze;56
Best;86
Beuningen;44
Beverwijk;164
De Bilt;159
Bladel;48
Blaricum;26
Bloemendaal;73
Bodegraven-Reeuwijk;146
Boekel;23
Borger-Odoorn;46
Borne;62
Borsele;32
Boxtel;91
Breda;938
Bronckhorst;49
Brummen;30
Brunssum;82
Bunnik;36
Bunschoten;44
Buren;46
Capelle aan den IJssel;223
Castricum;73
Coevorden;100
Cranendonck;93
Culemborg;83
Dalfsen;32
Dantumadiel;32
Delft;489
Deurne;83
Deventer;423
Diemen;160
Dijk en Waard;267
Dinkelland;43
Doesburg;26
Doetinchem;215
Dongen;57
Dordrecht;568
Drechterland;28
Drimmelen;54
Dronten;90
Druten;25
Duiven;64
Echt-Susteren;90
Edam-Volendam;66
Ede;372
Eemnes;24
Eemsdelta;100
Eersel;43
Eijsden-Margraten;56
Eindhoven;1 558
Elburg;49
Emmen;360
Enkhuizen;65
Enschede;676
Epe;75
Ermelo;91
Etten-Leur;139
De Fryske Marren;109
Geertruidenberg;46
Geldrop-Mierlo;105
Gemert-Bakel;69
Gennep;34
Gilze en Rijen;83
Goeree-Overflakkee;113
Goes;168
Goirle;86
Gooise Meren;228
Gorinchem;142
Gouda;335
's-Gravenhage;2 997
Groningen;1 145
Gulpen-Wittem;49
Haaksbergen;34
Haarlem;691
Haarlemmermeer;558
Halderberge;98
Hardenberg;142
Harderwijk;133
Hardinxveld-Giessendam;49
Harlingen;36
Hattem;46
Heemskerk;104
Heemstede;66
Heerde;33
Heerenveen;126
Heerlen;500
Heeze-Leende;56
Heiloo;78
Den Helder;254
Hellendoorn;63
Helmond;443
Hendrik-Ido-Ambacht;66
Hengelo (O.);290
's-Hertogenbosch;879
Heumen;30
Heusden;124
Hillegom;53
Hilvarenbeek;34
Hilversum;340
Hoeksche Waard;192
Hof van Twente;53
Het Hogeland;70
Hollands Kroon;61
Hoogeveen;199
Hoorn;269
Horst aan de Maas;174
Houten;102
Huizen;92
Hulst;66
IJsselstein;106
Kaag en Braassem;52
Kampen;110
Kapelle;27
Katwijk;187
Kerkrade;213
Koggenland;45
Krimpen aan den IJssel;57
Krimpenerwaard;122
Laarbeek;62
Land van Cuijk;227
Landgraaf;147
Landsmeer;50
Lansingerland;216
Laren (NH.);32
Leeuwarden;571
Leiden;533
Leiderdorp;76
Leidschendam-Voorburg;321
Lelystad;327
Leudal;80
Leusden;59
Lingewaard;80
Lisse;66
Lochem;51
Loon op Zand;66
Lopik;24
Losser;47
Maasdriel;55
Maasgouw;49
Maashorst;249
Maassluis;90
Maastricht;648
Medemblik;97
Meerssen;42
Meierijstad;197
Meppel;92
Middelburg (Z.);165
Midden-Delfland;60
Midden-Drenthe;74
Midden-Groningen;181
Moerdijk;137
Molenlanden;66
Montferland;57
Montfoort;23
Mook en Middelaar;10
Neder-Betuwe;54
Nederweert;32
Nieuwegein;287
Nieuwkoop;61
Nijkerk;113
Nijmegen;992
Nissewaard;322
Noardeast-Fryslân;57
Noord-Beveland;12
Noordenveld;63
Noordoostpolder;124
Noordwijk;124
Nuenen, Gerwen en Nederwetten;40
Nunspeet;74
Oegstgeest;82
Oirschot;37
Oisterwijk;77
Oldambt;123
Oldebroek;41
Oldenzaal;71
Olst-Wijhe;37
Ommen;33
Oost Gelre;43
Oosterhout;197
Ooststellingwerf;58
Oostzaan;30
Opmeer;31
Opsterland;38
Oss;375
Oude IJsselstreek;68
Ouder-Amstel;101
Oudewater;17
Overbetuwe;123
Papendrecht;68
Peel en Maas;101
Pekela;35
Pijnacker-Nootdorp;112
Purmerend;268
Putten;70
Raalte;52
Reimerswaal;58
Renkum;84
Renswoude;6
Reusel-De Mierden;35
Rheden;109
Rhenen;52
Ridderkerk;154
Rijssen-Holten;71
Rijswijk (ZH.);296
Roerdalen;48
Roermond;373
De Ronde Venen;105
Roosendaal;386
Rotterdam;4 323
Rozendaal;3
Rucphen;63
Schagen;155
Scherpenzeel;14
Schiedam;437
Schiermonnikoog;5
Schouwen-Duiveland;94
Simpelveld;23
Sint-Michielsgestel;47
Sittard-Geleen;374
Sliedrecht;64
Sluis;58
Smallingerland;216
Soest;105
Someren;56
Son en Breugel;62
Stadskanaal;110
Staphorst;31
Stede Broec;31
Steenbergen;64
Steenwijkerland;103
Stein (L.);55
Stichtse Vecht;145
Súdwest-Fryslân;210
Terneuzen;166
Terschelling;14
Texel;27
Teylingen;91
Tholen;24
Tiel;170
Tilburg;1 390
Tubbergen;28
Twenterand;53
Tynaarlo;53
Tytsjerksteradiel;45
Uitgeest;33
Uithoorn;68
Urk;25
Utrecht;2 240
Utrechtse Heuvelrug;128
Vaals;28
Valkenburg aan de Geul;75
Valkenswaard;119
Veendam;90
Veenendaal;191
Veere;54
Veldhoven;119
Velsen;205
Venlo;530
Venray;180
Vijfheerenlanden;135
Vlaardingen;311
Vlieland;3
Vlissingen;157
Voerendaal;26
Voorne aan Zee;184
Voorschoten;72
Voorst;52
Vught;111
Waadhoeke;96
Waalre;52
Waalwijk;132
Waddinxveen;70
Wageningen;136
Wassenaar;82
Waterland;23
Weert;168
West Betuwe;132
West Maas en Waal;36
Westerkwartier;152
Westerveld;39
Westervoort;30
Westerwolde;124
Westland;309
Weststellingwerf;53
Wierden;67
Wijchen;117
Wijdemeren;46
Wijk bij Duurstede;17
Winterswijk;89
Woensdrecht;61
Woerden;186
De Wolden;34
Wormerland;25
Woudenberg;25
Zaanstad;641
Zaltbommel;94
Zandvoort;57
Zeewolde;35
Zeist;207
Zevenaar;111
Zoetermeer;536
Zoeterwoude;21
Zuidplas;147
Zundert;33
Zutphen;176
Zwartewaterland;29
Zwijndrecht;138
Zwolle;613
