Wijk;Totaal misdrijven
Haarlemmerbuurt;53
Jordaan;146
Grachtengordel-West;80
Burgwallen-Nieuwe Zijde;385
Burgwallen-Oude Zijde;207
Nieuwmarkt/Lastage;178
Grachtengordel-Zuid;181
De Weteringschans;157
Weesperbuurt/Plantage;85
Oostelijke Eilanden/Kadijken;82
Havens-West;12
Coenhaven/Minervahaven;41
Sloterdijk-West;18
Spaarndammerbuurt/Zeeheldenbuurt;73
Houthavens;12
De Kolenkit;50
Landlust;99
Erasmuspark;31
Centrale Markt;16
Staatsliedenbuurt;56
Frederik Hendrikbuurt;42
Van Galenbuurt;27
Geuzenbuurt;31
Hoofdweg e.o.;59
Chassébuurt;17
Bellamybuurt;42
Da Costabuurt;30
Westindische Buurt;23
Van Lennepbuurt;51
Overtoomse Sluis;31
Helmersbuurt;51
Vondelparkbuurt;34
Sloterdijk Nieuw-West;118
Geuzenveld;103
Slotermeer-West;47
Slotermeer-Noordoost;56
Slotermeer-Zuidoost;47
Lutkemeer/Ookmeer;16
De Aker;33
De Punt;43
Osdorp-Midden;64
Osdorp-Oost;104
Slotervaart-Noord;34
Overtoomse Veld;74
Slotervaart-Zuid;77
Westlandgracht;107
Sloten/Nieuw-Sloten;64
Hoofddorppleinbuurt;86
Schinkelbuurt;21
Willemspark;34
Museumkwartier;148
Oude Pijp;116
Nieuwe Pijp;50
Zuid Pijp;21
Stadionbuurt;89
Apollobuurt;69
Scheldebuurt;57
IJselbuurt;30
Rijnbuurt;40
Prinses Irenebuurt e.o.;12
Zuidas;137
Buitenveldert-West;58
Buitenveldert-Oost;33
Oostelijk Havengebied;50
Weesperzijde;53
Oosterparkbuurt;118
Transvaalbuurt;33
Dapperbuurt;105
Indische Buurt-West;52
Indische Buurt-Oost;30
Zeeburgereiland/Bovendiep;37
IJburg-West;42
IJburg-Oost;5
IJburg-Zuid;31
Frankendael;83
Middenmeer;75
Betondorp;14
Omval/Overamstel;55
Oostzanerwerf;43
Noordelijke IJ-oevers-West;91
Tuindorp Oostzaan;37
Kadoelen;17
Banne Buiksloot;83
Nieuwendammerdijk/Buiksloterdijk;5
Elzenhagen;34
Buikslotermeer;123
Waterlandpleinbuurt;62
Volewijck;84
IJplein/Vogelbuurt;54
Tuindorp Buiksloot;6
Tuindorp Nieuwendam;12
Noordelijke IJ-oevers-Oost;19
Waterland;19
Driemond;3
Bloemendalerpolder;5
Weesp-Noordwest;35
Weesp Binnenstad/Zuid;22
Aetsveld/Oostelijke Vechtoever;10
Amstel III/Bullewijk;138
Venserpolder;38
Amsterdamse Poort e.o.;130
H-buurt;45
Ganzenhoef e.o.;54
Geerdinkhof/Kantershof;27
Bijlmermuseum;48
K-buurt;25
Holendrecht;37
Nellestein;20
Reigersbos;31
Gein;26
