ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;Binnen1Km_6;Binnen3Km_7;Binnen5Km_8;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;Binnen5Km_12;Binnen10Km_13;Binnen20Km_14;AfstandTotZiekenhuis_15;Binnen5Km_16;Binnen10Km_17;Binnen20Km_18;AfstandTotGroteSupermarkt_24;Binnen1Km_25;Binnen3Km_26;Binnen5Km_27;AfstandTotOvDagelLevensmiddelen_28;Binnen1Km_29;Binnen3Km_30;Binnen5Km_31;AfstandTotWarenhuis_32;Binnen5Km_33;Binnen10Km_34;Binnen20Km_35;AfstandTotCafeED_36;Binnen1Km_37;Binnen3Km_38;Binnen5Km_39;AfstandTotCafetariaED_40;Binnen1Km_41;Binnen3Km_42;Binnen5Km_43;AfstandTotRestaurant_44;Binnen1Km_45;Binnen3Km_46;Binnen5Km_47;AfstandTotHotelED_48;Binnen5Km_49;Binnen10Km_50;Binnen20Km_51;AfstandTotKinderdagverblijf_52;Binnen1Km_53;Binnen3Km_54;Binnen5Km_55;AfstandTotBuitenschoolseOpvang_56;Binnen1Km_57;Binnen3Km_58;Binnen5Km_59;AfstandTotSchool_60;Binnen1Km_61;Binnen3Km_62;Binnen5Km_63;AfstandTotSchool_64;Binnen3Km_65;Binnen5Km_66;Binnen10Km_67;AfstandTotSchool_68;Binnen3Km_69;Binnen5Km_70;Binnen10Km_71;AfstandTotSchool_72;Binnen3Km_73;Binnen5Km_74;Binnen10Km_75;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;Binnen5Km_96;Binnen10Km_97;Binnen20Km_98;AfstandTotPodiumkunstenTotaal_99;Binnen5Km_100;Binnen10Km_101;Binnen20Km_102;AfstandTotPoppodium_103;AfstandTotBioscoop_104;Binnen5Km_105;Binnen10Km_106;Binnen20Km_107;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;Binnen10Km_111;Binnen20Km_112;Binnen50Km_113;AfstandTotBrandweerkazerne_114
1335;BU0363EP01;Amsterdam                               ;Buurt     ;BU0363EP01;2;0.4;5.7;62.8;112.6;2.5;0.6;2.2;3.9;6;14;2.5;2.9;5;11;0.4;11.1;79.2;149.5;0.2;63.2;622.9;907.1;1.1;11.8;22.3;39.6;0.1;38.5;470.1;616.8;0.2;53.4;509;766.4;0.1;126.3;1278;1909;0.3;375.3;437.5;528.8;0.2;22.5;159.7;293.1;0.5;5.5;72.1;140.9;0.5;3.2;41.4;88.2;1.1;12.3;39;77.5;1.1;8.7;26;56.4;1.1;10.9;31.1;51.6;2.1;3.2;3.3;0.7;1.6;7.4;1.4;42;49;68;0.7;34;48.9;63;1.6;0.4;11;13;19;0.8;0.8;2.1;6.1;17;62.8;0.9
1336;BU0363EP02;Amsterdam                               ;Buurt     ;BU0363EP02;2;0.4;6.3;61.3;114.4;2.7;0.7;2.4;4.4;6.5;13.5;2.7;3.4;5.5;10.5;0.3;9.4;75.3;149.5;0.2;61.8;570.7;911.1;0.6;12;21.8;38.8;0.2;31.6;393.2;617.6;0.2;43.7;455.2;768.6;0.1;114.4;1151;1913;0.4;374.1;437.2;527.2;0.4;13.2;158.4;290.4;0.6;6;72.4;139.2;0.5;3.4;40;87.4;1.3;14.2;38.8;78.5;1.3;9.8;25.8;57.2;1.3;12.1;31.3;52.8;2.3;3;3.7;0.5;1.9;7.4;1.8;41.4;49;68;1.2;33.8;48.7;63;1.6;0.7;11;13;19;0.8;0.4;2.4;6.5;17;62.4;1.3
1337;WK0363EQ  ;Amsterdam                               ;Wijk      ;WK0363EQ  ;2;0.3;7.3;63.8;115.4;2.9;0.5;1.8;3.2;6.1;13;2.9;2.2;5.1;10;0.2;12.1;81.5;155.7;0.2;74.9;661.4;935.7;1.3;12.1;22.8;39.2;0.2;51.5;522;627.4;0.2;57.2;552.1;784.2;0.1;149.4;1405;1949;0.3;379.2;437.1;526.7;0.3;18.7;149.5;297.8;0.4;5.9;68.1;144;0.4;3.5;39.2;90.5;0.9;13.4;39.8;79.1;1;8.4;26.4;57.3;0.9;11.7;32.1;53.1;2.6;3;3;0.7;1.2;7;1.1;42.9;49;68.1;0.5;34.5;49.5;63.1;1.2;0.8;11;13.1;19;0.5;0.9;2.5;7.2;16.6;63.1;0.6
1338;BU0363EQ01;Amsterdam                               ;Buurt     ;BU0363EQ01;2;0.3;7.3;63.8;115.4;2.9;0.5;1.8;3.2;6.1;13;2.9;2.2;5.1;10;0.2;12.1;81.5;155.7;0.2;74.9;661.4;935.7;1.3;12.1;22.8;39.2;0.2;51.5;522;627.4;0.2;57.2;552.1;784.2;0.1;149.4;1405;1949;0.3;379.2;437.1;526.7;0.3;18.7;149.5;297.8;0.4;5.9;68.1;144;0.4;3.5;39.2;90.5;0.9;13.4;39.8;79.1;1;8.4;26.4;57.3;0.9;11.7;32.1;53.1;2.6;3;3;0.7;1.2;7;1.1;42.9;49;68.1;0.5;34.5;49.5;63.1;1.2;0.8;11;13.1;19;0.5;0.9;2.5;7.2;16.6;63.1;0.6
1339;WK0363ER  ;Amsterdam                               ;Wijk      ;WK0363ER  ;2;0.5;3.3;42.6;108.6;2.3;0.6;2.3;4;6;14;2.3;3;5;11;0.4;4.1;57.1;152.4;0.2;23.1;315.5;924.2;1.2;13.3;20.1;41;0.4;11.2;169.4;591.6;0.3;12.1;230.7;733;0.2;43;608.9;1816;0.7;348.2;437.1;531.2;0.2;13.6;142.1;281.7;0.4;6.1;71.9;136.5;0.5;2;41.1;86.6;1.6;13;38;76.6;1.6;9.3;27.5;55.7;1.6;10;29.4;51.7;1.2;1.8;3.5;1.3;1.8;8.3;2.9;30;49;69;2.4;29.6;45.5;63;2.8;1.8;10.4;13;19;2;1.2;2;6;17;62.6;2.1
1340;BU0363ER01;Amsterdam                               ;Buurt     ;BU0363ER01;2;0.7;2.8;42.2;109.5;2.4;0.7;2.4;4;6;14;2.4;3;5;11;0.6;4;56.8;151.8;0.3;21;307.2;921.2;1.2;13.1;20.1;40.7;0.5;9.6;158.4;586.6;0.5;10.5;221.1;726.3;0.3;40.3;583.8;1804;0.6;344.5;437.1;530.6;0.3;13.2;139.2;281.1;0.3;6;70.6;136.9;0.4;2.1;40.4;86.6;1.5;12.4;38.3;76.4;1.5;8.8;27.8;55.5;1.5;9.4;29.5;51.5;1;1.6;3.5;1.4;1.8;8.3;2.9;29.3;48.8;69;2.5;29.1;44.8;63;2.8;1.9;10.4;13;19;2;1.2;2.1;6;17;63;2
1341;BU0363ER02;Amsterdam                               ;Buurt     ;BU0363ER02;2;0.3;3.7;42.9;107.9;2.2;0.5;2.2;4;6;14;2.2;3;5;11;0.3;4.3;57.3;153;0.2;24.9;322.1;926.7;1.2;13.4;20.1;41.1;0.3;12.5;178.1;595.7;0.2;13.4;238.4;738.5;0.2;45.1;629.1;1826;0.7;351.1;437.2;531.7;0.2;14;144.6;282.1;0.4;6.2;72.9;136.2;0.6;2;41.7;86.7;1.7;13.5;37.8;76.8;1.7;9.8;27.2;55.8;1.7;10.5;29.3;51.9;1.3;1.9;3.5;1.3;1.7;8.3;2.8;30.6;49.1;69;2.4;30;46;63;2.7;1.7;10.4;13;19;2;1.1;1.9;6;17;62.3;2.2
1342;WK0363ES  ;Amsterdam                               ;Wijk      ;WK0363ES  ;2;0.4;6.8;61.3;115.5;3;0.7;2.3;4.2;6.7;13.2;3;3.2;5.7;10.2;0.3;10;74.4;153.7;0.2;62.3;568.8;927.5;0.7;12.5;21.8;38.6;0.2;31.4;400.8;622.7;0.2;44.7;455.1;777.6;0.2;123.2;1177;1930;0.4;376.9;436.9;526.9;0.4;12.9;154.4;294;0.5;6.5;69.3;142.8;0.4;3.8;39.7;89.1;1;15.3;40.1;79.3;1;9.8;26.6;57.7;1.2;13.2;32;53.6;2.5;3.1;3.7;0.6;1.9;7.2;1.7;41.9;49;68.1;1.1;33.7;49;63;1.4;0.9;11;13.1;19;0.7;0.6;2.6;7;16.7;62.6;1.4
1343;BU0363ES01;Amsterdam                               ;Buurt     ;BU0363ES01;2;0.4;6.2;54.9;111.5;2.6;0.7;2.6;4.7;7;13.9;2.6;3.7;6;10.9;0.4;6.7;64.7;146.5;0.2;54.3;436.8;897.3;0.4;11.9;21.2;39.1;0.2;24.4;272.1;614.2;0.2;35.6;345.9;759.4;0.1;92;886.1;1889;0.4;371.5;435.5;528.3;0.4;11.7;150.2;285.2;0.5;7.9;70.3;136.6;0.4;5.1;38.4;86.3;1.4;13.4;39.2;77.3;1.4;9.7;26.4;56.3;1.8;11.3;31.5;52.2;2;2.7;4.1;0.8;2;7.6;2.2;39.7;49;68;1.7;32.1;47.8;63;1.9;1;11;13;19;1.2;0.4;2.2;6;17;61.6;1.9
1344;BU0363ES02;Amsterdam                               ;Buurt     ;BU0363ES02;2;0.4;6.3;60.6;115.2;3.1;0.7;2.5;4.2;6.6;12.8;3.1;3.2;5.6;9.8;0.3;8.6;71.5;151.7;0.2;56.4;563.6;918.4;0.7;12.4;21.9;38.2;0.3;22.5;388.3;620.2;0.2;42;446.8;772.7;0.3;108.3;1157;1924;0.5;375.1;436.4;526.3;0.4;10.5;150.4;293;0.4;5.9;67;141.6;0.4;3;38.6;87.7;1;15.4;38.9;79.5;1;9.7;25.7;57.9;1.3;13.3;31.4;53.7;2.5;3.2;3.8;0.6;2;7.2;1.7;42.5;49;68;1.2;33.8;48.6;63;1.4;1;11;13;19;0.7;0.6;2.7;6.9;16.5;62.9;1.5
