ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;Binnen1Km_6;Binnen3Km_7;Binnen5Km_8;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;Binnen5Km_12;Binnen10Km_13;Binnen20Km_14;AfstandTotZiekenhuis_15;Binnen5Km_16;Binnen10Km_17;Binnen20Km_18;AfstandTotGroteSupermarkt_24;Binnen1Km_25;Binnen3Km_26;Binnen5Km_27;AfstandTotOvDagelLevensmiddelen_28;Binnen1Km_29;Binnen3Km_30;Binnen5Km_31;AfstandTotWarenhuis_32;Binnen5Km_33;Binnen10Km_34;Binnen20Km_35;AfstandTotCafeED_36;Binnen1Km_37;Binnen3Km_38;Binnen5Km_39;AfstandTotCafetariaED_40;Binnen1Km_41;Binnen3Km_42;Binnen5Km_43;AfstandTotRestaurant_44;Binnen1Km_45;Binnen3Km_46;Binnen5Km_47;AfstandTotHotelED_48;Binnen5Km_49;Binnen10Km_50;Binnen20Km_51;AfstandTotKinderdagverblijf_52;Binnen1Km_53;Binnen3Km_54;Binnen5Km_55;AfstandTotBuitenschoolseOpvang_56;Binnen1Km_57;Binnen3Km_58;Binnen5Km_59;AfstandTotSchool_60;Binnen1Km_61;Binnen3Km_62;Binnen5Km_63;AfstandTotSchool_64;Binnen3Km_65;Binnen5Km_66;Binnen10Km_67;AfstandTotSchool_68;Binnen3Km_69;Binnen5Km_70;Binnen10Km_71;AfstandTotSchool_72;Binnen3Km_73;Binnen5Km_74;Binnen10Km_75;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;Binnen5Km_96;Binnen10Km_97;Binnen20Km_98;AfstandTotPodiumkunstenTotaal_99;Binnen5Km_100;Binnen10Km_101;Binnen20Km_102;AfstandTotPoppodium_103;AfstandTotBioscoop_104;Binnen5Km_105;Binnen10Km_106;Binnen20Km_107;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;Binnen10Km_111;Binnen20Km_112;Binnen50Km_113;AfstandTotBrandweerkazerne_114
1170;GM0363    ;Amsterdam                               ;Gemeente  ;GM0363    ;3;0.6;3;28.3;67.4;3.2;0.7;2.6;2.1;5.4;13;3;1.5;4.4;9.5;0.6;4;36.1;86.8;0.5;21.2;205.8;497.8;1.6;7;18.9;37.5;0.8;10.6;126.4;311.5;0.4;15;164.9;405.8;0.4;35.8;402.9;982.6;0.9;189.3;383.9;509.5;0.4;7.3;68.8;165.4;0.5;3.7;35.8;89;0.6;2.5;22.4;55.3;1.1;9.5;23.5;63.1;1.1;6.6;16.4;45.6;1.3;7.1;17.3;43.5;2.2;2.8;3.9;1.3;2.2;7.3;2.5;20.8;43.2;63.3;1.8;17.7;41.2;60;4;3.1;5.5;11.7;18.2;2.5;2;3.2;5.3;13.8;61.4;2.1
1171;WK0363AA  ;Amsterdam                               ;Wijk      ;WK0363AA  ;2;0.5;3.8;32.2;96;4.5;0.7;2;2.7;6;14.1;4.5;1.7;5;10.1;0.4;4.5;44.5;124.3;0.3;47.6;406.5;819.2;0.7;9;21.6;41.3;0.3;27.3;383.1;604.8;0.3;26.8;371;697.4;0.1;74.9;899.9;1720;0.5;355.2;427.8;519.4;0.3;4.5;65.7;212.4;0.6;3.4;31.8;103.9;0.6;1.6;16;62.8;0.7;5.5;24.6;76;0.7;3.1;16.5;55.6;0.7;5.3;20;51;3.4;1.6;1.6;1.3;1.4;6.5;1.2;41.4;47;67.2;0.7;32.7;44.9;64.7;2.6;0.9;10.8;13;20.8;1.5;0.8;3.3;6.9;14;62.2;1.9
1172;BU0363AA01;Amsterdam                               ;Buurt     ;BU0363AA01;2;0.8;3.8;30.8;87.8;4.6;0.6;2.4;3;6;14.7;4.6;2;5;10.7;0.3;5.7;43.8;115.4;0.4;42.4;389.1;788.4;0.3;8.2;22.8;41.6;0.4;20.9;353.2;594.4;0.3;16.3;356.9;675.8;0.1;56.8;837.7;1661;0.8;352.2;426.9;521.7;0.1;9.3;70;197.5;0.1;7.6;31.6;96.7;0.5;2;15.7;60.1;0.9;5;21.9;74;0.9;3;15.8;54;0.9;5;17.9;49;2.9;2.1;2.1;0.9;1.1;6.9;1.4;41;47;67;0.4;32.2;44;65;2.7;0.5;11;13;20.7;1.9;0.4;3.7;6.6;15;63;1.7
1173;BU0363AA02;Amsterdam                               ;Buurt     ;BU0363AA02;2;0.8;2.3;29.5;87.5;4.7;0.7;2.3;2.7;6;14.2;4.7;1.7;5;10.2;0.6;3.7;39.8;115.8;0.5;30.7;369.1;780.3;0.6;8.1;22.1;41.1;0.5;14;336.1;591.4;0.5;15.5;332.9;673.5;0.2;42.5;777.8;1646;0.8;347.8;427.2;516.2;0.3;5.4;60;193;0.4;5.6;29;94.4;0.4;1.9;14.3;56.3;1;4.9;20.5;74.5;1;3;14.9;54.5;1;4.9;16.8;49.5;3.2;1.9;1.9;1.1;1.4;6.8;1.5;41;47;67;0.6;32.1;44;64.9;2.9;0.8;10.6;13;20.8;1.8;0.7;3.6;6.7;14.9;62.5;2
1174;BU0363AA03;Amsterdam                               ;Buurt     ;BU0363AA03;2;0.2;2;28.8;92.9;4.5;1.2;2;2.1;6;14;4.5;1.1;5;10;0.7;1.9;37.3;122.4;0.6;21.8;371.2;799.5;1;8.2;21.3;40.2;0.4;14.7;353.7;598.6;0.2;18.9;335.1;686.1;0.1;37.1;802.6;1684;0.4;346.7;427.4;512.2;0.2;1.9;55.8;198.4;0.7;2.3;29.4;96.2;1;0.4;14.7;55.8;0.7;4.5;21.3;76.4;0.7;2.4;15.6;55.9;0.7;4.5;16.9;51.4;3.8;1.2;1.2;1.7;1.8;6.5;1.5;41;47;67;0.9;32.4;44.6;63.6;2.8;1.4;10.7;13;20.4;1.5;1.3;3.2;7;10.7;61.7;2.4
1175;BU0363AA04;Amsterdam                               ;Buurt     ;BU0363AA04;2;0.6;5.5;35;97.2;4.3;0.5;2.2;2.8;6;15;4.3;1.8;5;11;0.2;8.1;48.4;123.2;0.2;63.8;427.8;823.1;0.2;10.1;23;42.9;0.4;32.9;383.6;608;0.1;26.3;385.8;698.5;0.1;99.2;932.6;1721;0.7;358.1;429.4;527;0.3;15.7;83.3;216.7;0.3;7.1;35.3;105.8;0.7;3.3;20;67.1;0.9;7;26.3;74.1;0.9;4.2;17.1;54.1;0.9;5.8;22.3;49;2.7;2;2;0.6;0.9;6.8;1.1;41.5;47;67.5;0.4;32.7;44.8;64.8;2.5;0.4;11;13;20.8;1.7;0.4;3.6;6.8;15.8;63;1.5
1176;BU0363AA05;Amsterdam                               ;Buurt     ;BU0363AA05;2;0.3;5.1;33.4;102.2;4.4;0.3;1.8;3;6;14.1;4.4;2;5;10.1;0.2;6.3;49.5;127.9;0.1;67.5;439.2;846;0.6;9.4;21.2;42;0.2;35.6;423.2;615.9;0.1;29.2;407.9;713.4;0.1;102.6;1008;1770;0.3;363.6;428;524.3;0.5;5.1;70.1;225.9;0.7;2.3;32.7;110.3;0.7;2;16.1;67.9;0.4;6.2;28.1;76.5;0.4;3.3;17.5;56;0.4;5.9;23.1;51.5;3.3;1.6;1.6;1.2;1.1;6.4;0.9;41.6;47;67.2;0.6;33;45.2;65;2.4;0.6;11;13;21;1.3;0.6;3.2;7;15.2;62.1;1.7
1177;BU0363AA06;Amsterdam                               ;Buurt     ;BU0363AA06;2;0.3;6.6;39.5;107.9;4.2;0.8;1.4;3;6;14;4.2;2;5;10;0.3;5.9;54.3;139.5;0.1;79.5;471.4;881.9;0.9;10.7;21.2;41.5;0.2;55.7;452.8;622.9;0.2;56.7;431.4;736.6;0.1;140.6;1093;1840;0.2;367.1;429.2;525.2;0.3;2.8;78.5;248.1;1;0.7;38.1;122.7;0.4;1.4;20.4;75.9;0.3;6.9;31.4;78.4;0.3;3.9;19.1;57.5;0.3;6;25.1;53.4;3.6;1.3;1.3;1.5;1.3;6.1;0.8;42.1;47;67.7;0.6;33.7;46.5;65;2.1;1;11;13;21;0.9;0.9;2.9;7.4;14.1;62.2;1.7
1178;WK0363AB  ;Amsterdam                               ;Wijk      ;WK0363AB  ;2;0.4;6.4;51.1;107.7;3.7;0.5;1.5;3;6;13.5;3.7;2;5;10;0.4;7;66.2;142.6;0.2;74.9;565.6;904.4;1.2;11.4;22.2;40.8;0.2;51.9;488.3;624.3;0.2;46.7;494.7;752.2;0.1;140.2;1246;1873;0.4;370.6;431.1;526.8;0.4;8;112.8;272.4;0.5;3.8;51.1;131.6;0.6;2.3;28.5;80.3;0.7;9.1;35.4;76.7;0.9;5.9;22.6;56;0.7;7.9;29.3;51.3;3.2;2.3;2.3;1.1;0.8;6.8;0.6;42.9;48;68.1;0.6;34.2;48.2;64.6;1.5;1;11;13.2;20.4;1.1;0.8;3.2;7;14.9;62.8;0.9
1179;BU0363AB01;Amsterdam                               ;Buurt     ;BU0363AB01;2;0.5;6.7;42.5;97.4;3.8;0.6;2;2.9;6;14.5;3.8;1.9;5;10.5;0.5;8.2;53.5;131.7;0.2;77;487.2;860.4;0.6;11.4;21.9;42.9;0.3;38.4;429.6;612;0.3;31.7;431.4;723.4;0.1;115.6;1059;1786;0.6;364.8;429.4;529;0.4;13.2;95.4;248.2;0.6;7.6;42.9;121.5;0.9;1.6;23.9;72.4;0.7;7;32.1;74;0.7;4;21;54;0.7;6;26.8;49;3;2.1;2.1;0.8;0.4;7;0.9;42.8;47.4;68;0.7;33.2;46.5;64.6;2;0.8;11;13;20.2;1.6;0.7;3.2;6.2;16;63;1
1180;BU0363AB02;Amsterdam                               ;Buurt     ;BU0363AB02;2;0.3;4.9;35.6;100.8;4.2;0.4;1.8;3;6;14;4.2;2;5;10;0.4;6;51.1;126.2;0.1;74.2;457.9;849.7;0.9;9.9;21;42.1;0.2;37.6;430.3;615.2;0.3;29.3;419.5;714.4;0.1;113;1034;1775;0.4;362.7;427.7;525.8;0.4;3.8;79;234;0.8;1.7;35.1;114.5;0.8;1.8;18.9;69.5;0.6;6.7;29.5;75.1;0.6;3.7;18;55.1;0.6;6;24.7;50.1;3.5;1.8;1.8;1.3;0.8;6.7;0.7;42.4;47;67.7;0.8;33;45.4;65;2.2;1;11;13;21;1.3;0.9;3.4;7;14.9;62;1.4
1181;BU0363AB03;Amsterdam                               ;Buurt     ;BU0363AB03;2;0.4;5.3;41.7;100.2;4;0.3;1.7;3;6;13.9;4;2;5;10;0.3;4.8;53.8;130.9;0.1;69.4;492.5;865;1.2;10.9;21;41.7;0.1;38.3;452.1;614.5;0.2;27.9;442.2;723.2;0.1;110.2;1096;1798;0.4;364.5;428.1;527.7;0.4;4.7;90.6;247.8;0.5;2.7;40.7;120.7;0.7;1.8;23.2;71.8;0.7;7;32;74.6;0.7;4;20.3;54.6;0.7;6;26.8;49.6;3.4;1.9;1.9;1.1;0.5;6.8;0.4;43;47.2;68;0.9;33;46.3;64.7;2;1.2;11;13;20.6;1.4;0.9;3.3;6.5;15.5;62.1;1.1
1182;BU0363AB04;Amsterdam                               ;Buurt     ;BU0363AB04;2;0.4;8.9;57.3;106;3.3;0.4;1.6;3;6;14;3.3;2;5;10;0.6;8.6;70.4;145.6;0.3;80.3;589.4;896.7;1.2;11.9;22.7;40.8;0.2;55.8;499;620.3;0.4;42.8;512.9;753.9;0.2;139;1269;1876;0.4;371.9;430.5;527.9;0.3;16.1;119.1;277.4;0.5;8.5;58.1;130.4;0.4;2.4;31.3;81.8;0.6;8.8;37.3;76.3;0.6;5.8;24.6;55.9;0.6;7.8;29.8;50.6;2.7;2.5;2.5;0.8;0.3;7.2;0.7;43;48;68;0.7;34;48.9;63.1;1.4;1.1;11;13;19;1.3;1;2.7;6;16;63.9;0.5
1183;BU0363AB05;Amsterdam                               ;Buurt     ;BU0363AB05;2;0.5;6.2;46.5;100.5;3.9;0.4;1.5;3;6;13.6;3.9;2;5;10;0.4;4.2;58.2;135.6;0.2;62.3;521.2;876.9;1.4;11.1;21.1;40.8;0.2;39.1;472.8;614.2;0.2;33.9;465.7;728;0.1;105.5;1158;1820;0.5;365.7;428.4;526.5;0.4;5.1;96.9;258.9;0.3;3.1;44.4;123.9;0.4;1.9;25.7;74.6;0.8;7;32;74.4;0.8;4.2;20.6;54.3;0.8;6;26.9;49.4;3.3;2.2;2.2;1.1;0.5;7;0.4;42.9;47.5;67.9;0.9;33.8;46.8;64.3;1.7;1.3;11;13;20.1;1.3;0.6;3.3;6.2;15.6;62.5;1
1184;BU0363AB06;Amsterdam                               ;Buurt     ;BU0363AB06;2;0.2;9.1;62.2;115.9;3;0.2;1.4;3;6;13.2;3;2;5;10.2;0.5;12.1;84.2;154.3;0.2;86.7;646.1;939.6;1.5;11.2;23;40.2;0;60.6;524.9;633.9;0.1;59.3;561.4;782.9;0.1;151.9;1394;1950;0.2;379.1;434.3;527;0.4;20.8;138.6;294.7;0.5;8.2;65.7;140.4;0.2;4.4;34.8;88.1;0.8;9.9;39.4;79;0.9;7;26;57.6;0.8;8.9;31.6;53;2.5;2.6;2.6;1.1;0.6;7;0.6;43;49;68.8;0.4;34.6;49.6;63.8;1.1;1.1;11;13;19.2;0.9;1;2.5;8;16;64;0.2
1185;BU0363AB07;Amsterdam                               ;Buurt     ;BU0363AB07;2;0.4;8;55.3;110.6;3.5;0.4;1.2;3;6;13;3.5;2;5;10;0.5;7.1;70.5;148;0.2;76.6;591.7;921;1.3;11.8;22.7;40.6;0.2;54.7;505.3;629.3;0.2;58.3;516.7;762.5;0.2;134.4;1293;1898;0.3;372.4;430.1;526.9;0.4;8.6;115.9;282.3;0.5;5.2;54.9;134.1;0.5;3.1;29.7;83.2;1;8.1;36.8;77.2;1.1;5.9;23.6;56.4;1;7;30.3;51.7;2.9;2.3;2.3;1.3;0.7;6.9;0.3;42.9;48;68.3;0.5;34.7;48.7;64.7;1.4;1.3;11;13;20.6;1;0.6;2.9;6.9;15.6;63.3;0.6
1186;BU0363AB08;Amsterdam                               ;Buurt     ;BU0363AB08;2;0.4;7.8;60.1;115.1;3.3;0.6;1.5;3;6;13;3.3;2;5;10;0.6;10.2;80.5;154.4;0.2;71.4;649;939.1;1.5;11.2;23;39.6;0.1;61.2;528;632;0.2;52.4;555.4;785.9;0.2;142.3;1411;1955;0.5;378.1;434.6;526.5;0.5;13.8;137.8;296.2;0.6;5;63.1;142.7;0.4;3.7;33.7;89.5;0.7;11.3;40.9;79.7;1.2;8.3;26.3;58;0.7;9.6;33.3;53.7;2.9;2.7;2.7;1;1;6.8;0.8;43;49;68.4;0.5;35;50;63.7;0.9;0.9;11;13;19.2;0.8;1.1;2.9;8;14.9;63.1;0.4
1187;BU0363AB09;Amsterdam                               ;Buurt     ;BU0363AB09;2;0.1;5.1;67.1;124.1;3.5;0.6;1.6;3.4;6.4;13;3.5;2.4;5.4;10;0.5;11.2;86.7;165.9;0.4;83;695;998.1;1.1;13;24;39.5;0.2;76.9;554.8;643.9;0.3;64;576.4;807.8;0.2;238.3;1522;2018;0.1;383.8;443.3;526.9;0.3;8.2;167.4;318.5;0.8;1;70.7;159.1;0.4;1;41.4;94.3;0.3;17.2;41.1;80.1;0.9;9.9;26.1;58.1;0.3;15.2;34;54.1;3.1;2.8;2.8;1;1.3;6.2;0.6;43;49;69;0.1;36;52;65;0.4;0.3;11;14;20.9;0.7;0.7;3.2;8;12;63;0.9
1188;BU0363AB10;Amsterdam                               ;Buurt     ;BU0363AB10;2;0.5;6.7;60.3;115.6;3.5;0.6;1.4;3;6;13;3.5;2;5;10;0.4;8;78.2;152.7;0.2;77.3;645.4;943.5;1.3;11.6;23.1;39.8;0.1;65.4;529.3;634.7;0.2;63.6;551.5;784.1;0.1;167.8;1417;1957;0.3;376.9;433.7;526.2;0.3;9.2;135.8;298;0.3;3.3;61;143.8;0.5;3.1;33.6;89.2;0.6;11.4;40;79.5;1.3;8.2;25.5;58;0.6;9.7;33;53.5;3.2;2.6;2.6;1.1;1.2;6.6;0.7;43;48.9;68.2;0.4;35.2;50.5;64.5;0.9;0.9;11;13.4;20.4;0.8;1;3.1;8;14.1;63;0.6
1189;BU0363AB11;Amsterdam                               ;Buurt     ;BU0363AB11;2;0.3;4.7;65.6;123;3.4;0.5;1.3;3;6;13;3.4;2;5;10;0.5;9.9;85.2;164.4;0.3;95.4;685.6;991;1;13;24;39;0.2;86.8;554;643.8;0.3;72.9;574.7;806.3;0.1;249.1;1515;2014;0.2;382.4;440.6;526.9;0.4;8.1;160.9;317.2;0.7;1.5;67.9;157.1;0.6;1.5;40.5;92.9;0.3;16.9;41.4;80;1.1;9.8;26.4;58;0.3;14.8;34.1;54;3.3;2.6;2.6;1.1;1.3;6.1;0.5;43;49;68.3;0.3;36;52;65;0.4;0.4;11;14;21;0.9;0.7;3;8;12.2;63;0.9
1190;WK0363AC  ;Amsterdam                               ;Wijk      ;WK0363AC  ;2;0.4;6.6;49.6;115.9;3.9;0.7;1;3;6;13.1;3.9;2;5;10;0.4;5.9;67.7;150.1;0.2;89.9;568.9;932.2;0.9;11.5;22.4;39.7;0.2;69.6;497.2;633.7;0.2;79;500.7;766.1;0.2;168.2;1286;1916;0.2;370.6;432.2;526.1;0.5;4.4;108.8;285.1;0.8;1.8;49.1;139.2;0.7;1.6;27.8;83.8;0.8;9;36.6;78.5;1.1;6.3;23;57.5;0.8;7.6;30.5;53;3.6;1.8;1.8;1.5;1.2;6.3;0.5;42.7;47.9;68;0.5;35;49.3;64.9;1.4;1.2;11;13.3;21;0.6;0.8;3.1;7.7;12.5;62.8;1.3
1191;BU0363AC01;Amsterdam                               ;Buurt     ;BU0363AC01;2;0.3;5.9;40.8;109.4;4.2;0.9;1.2;3;6;13.4;4.2;2;5;10;0.5;4.9;55.8;141.8;0.2;66.8;488.8;896.5;1.1;10.7;21.1;40.6;0.3;47.4;457.8;624.4;0.3;51.2;442.5;740.6;0.2;117.2;1123;1852;0.2;365.3;429.4;524.9;0.7;2.2;84.1;258.6;0.9;0.8;40.8;125.5;0.5;1.3;22.4;77.2;0.6;6.5;31.7;77.8;0.6;4;19.6;57;0.6;5.5;26.1;52.8;3.8;1.5;1.5;1.6;1.2;6.3;0.6;42.3;47.1;67.9;0.5;34.1;46.6;65;1.9;1.3;11;13;21;0.7;1;3.1;7.2;12.6;62.6;1.6
1192;BU0363AC02;Amsterdam                               ;Buurt     ;BU0363AC02;2;0.2;7.8;46.6;114.4;4;0.6;1;3;6;13.1;4;2;5;10;0.5;5.8;63.5;147.3;0.2;91.5;548.7;923.9;1;11.3;21.9;40.2;0.2;68.1;487.4;631.1;0.1;84.1;487.4;756.1;0.1;161.4;1242;1891;0.3;368.7;430.5;526.1;0.6;3.3;99.1;279.6;0.7;2.4;46.2;134.4;0.8;2.1;25.4;82.2;0.9;7.4;34.7;77.6;0.9;5.2;21.8;56.9;0.9;6.4;29.1;52.5;3.5;1.8;1.8;1.5;1;6.5;0.5;43;47.7;68;0.6;34.9;48.4;65;1.6;1.4;11;13;21;0.6;0.6;3.3;7.6;12.7;62.8;1.1
1193;BU0363AC03;Amsterdam                               ;Buurt     ;BU0363AC03;2;0.4;7.1;56.4;120.2;3.6;0.6;0.8;3;6;13;3.6;2;5;10;0.3;6.7;77.3;156.5;0.2;108.4;630.9;958.4;0.8;11.9;23.6;39.2;0.2;82.6;527.7;641.5;0.1;99.3;543.5;786.7;0.1;198.2;1411;1970;0.2;374.6;434.2;526.7;0.4;6.6;128.1;303.7;0.7;2.2;55.6;149.9;0.8;1.6;31.7;88.6;0.9;10.7;40.7;79.3;1.4;8.2;25.7;58.3;0.9;9;34.1;53.3;3.5;2;2;1.5;1.4;6.3;0.4;42.9;48.4;68;0.4;35.7;51.5;64.9;1;1;11;13.7;21;0.5;0.9;3;8;12.3;63;1.1
1194;BU0363AC04;Amsterdam                               ;Buurt     ;BU0363AC04;2;0.6;4.3;60.3;123.9;3.3;0.6;1.1;3;6;13;3.3;2;5;10;0.4;6.3;81.3;160.7;0.2;92.9;650.9;970.3;0.7;12.9;24;38;0.2;93.7;536.7;642.7;0.2;80.4;562.4;798.1;0.2;231;1463;1993;0.2;377.6;437.9;527.5;0.4;6.8;141.9;314.5;0.8;1.3;59.5;156.5;0.9;1.1;36.9;91;0.8;14.5;42.4;79.9;1.5;9.8;27.4;58;0.8;12.4;34.7;53.9;3.6;2.3;2.3;1.5;1.5;6;0.2;42.7;49;68;0.5;36;52;64.4;0.6;0.6;11;14;21;0.9;0.8;2.7;8;12;63;1.2
1195;WK0363AD  ;Amsterdam                               ;Wijk      ;WK0363AD  ;2;0.5;4.4;44.8;117.6;3.7;0.7;0.8;3;6;13;3.7;2;5;10;0.4;6.1;64.7;151.9;0.1;95.4;531.3;932.6;0.6;11.5;22.6;38.8;0.1;93.3;480.5;634.3;0.1;104.9;480;760.9;0;183;1231;1910;0.1;366.8;432.6;523.7;0.8;2.1;92.3;282.1;1.2;0.2;43;138.6;1.1;0.4;23.7;82.8;1.2;7.8;35.4;79.2;1.4;5.6;21.7;58.2;1.2;6.8;29.1;53.9;4;1.5;1.5;1.7;1.6;6;0.5;42.4;47.6;67.8;0.8;35.3;49.7;64.2;1.7;1.4;11;13.5;20.7;0.5;1.2;2.7;7.9;12.2;62.5;1.7
1196;BU0363AD01;Amsterdam                               ;Buurt     ;BU0363AD01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1197;BU0363AD02;Amsterdam                               ;Buurt     ;BU0363AD02;2;0.5;3.5;40.3;111.1;3.9;0.9;1.1;3;6;13.1;3.9;2;5;10;0.4;3.4;54.9;142.8;0.1;65.8;471.2;894.9;0.9;10.8;21.7;39.6;0.1;68.7;453.2;626.4;0.1;75.9;431.6;737.6;0;136.3;1099;1849;0;364;430.3;521.4;0.6;1.8;76.9;254.6;1.3;0;38.7;126.9;0.8;0.8;20.3;77;0.9;5.7;32.1;78.8;0.9;3.4;19.2;57.8;0.9;5.4;25.7;53.8;4;1.3;1.3;1.6;1.6;6;0.8;42.5;47;67.8;1;34.3;47.5;64.7;2.1;1.5;11;13.1;21;0.8;1.2;2.7;7.8;12.3;62.2;1.8
1198;BU0363AD03;Amsterdam                               ;Buurt     ;BU0363AD03;2;0.7;3.2;42.9;115.1;3.7;0.9;1;3;6;13;3.7;2;5;10;0.5;7.3;59;149.5;0;107.6;478.2;919;0.3;11;22.1;39.5;0;122.3;458.3;631.2;0;120.9;443.9;750.5;0;220.6;1129;1881;0.1;364.6;432;522.7;0.8;2.1;80.1;271;1.3;0.1;43.3;134.8;0.9;1;22.2;81.8;1;5.7;33.8;79;1;3.7;20.5;58;1;5;26.4;54;4.2;1;1;1.3;1.8;5.7;0.4;42.9;47;67.9;1.1;34.5;49.2;64.7;2.1;1.7;11;13.4;21;0.2;1.4;2.5;8;12.9;62.1;1.9
1199;BU0363AD04;Amsterdam                               ;Buurt     ;BU0363AD04;2;0.4;6.6;43.1;116.8;4;0.7;0.7;3;6;13;4;2;5;10;0.5;5.2;62;151.3;0;81.7;528.8;934.3;0.9;11.5;21.4;39.1;0.1;69.9;474.5;633.1;0;93.1;475.2;760.6;0;148.5;1218;1899;0.1;366.5;430.4;525.6;0.7;2.2;91.2;280.5;1;0.6;42.6;135.1;1.1;0.4;22.8;83.4;1.3;6.8;34.5;78.9;1.3;4.8;21.9;57.9;1.3;5.8;29.2;53.9;3.8;1.6;1.6;1.8;1.3;6.2;0.6;42.4;47.4;68;0.8;35.5;48.1;64.9;1.7;1.6;11;13;21;0.5;0.9;3;7.8;12;62.5;1.4
1200;BU0363AD05;Amsterdam                               ;Buurt     ;BU0363AD05;2;0.7;3.2;40.7;115.9;3.7;0.8;0.9;3;6;13;3.7;2;5;10;0.6;6.3;59.1;149;0;98.7;490.2;918.6;0.3;11.4;22.4;38.9;0;111;464.9;630.4;0;113.9;452.2;748.6;0;193.4;1153;1883;0;363.1;431.9;522.2;0.9;2.1;81.1;271;1.3;0;39.3;132.4;1.1;0.3;21.3;79.5;1.2;6;33.2;79;1.2;4;20;58;1.2;5.5;27.1;54;4.2;1.2;1.2;1.5;1.8;5.9;0.4;42.2;47.3;67.8;1;35;49;63.7;2.1;1.7;11;13.5;20.9;0.4;1.4;2.6;8;12.3;62;1.8
1201;BU0363AD06;Amsterdam                               ;Buurt     ;BU0363AD06;2;0.2;4.7;52.5;122;3.5;0.3;0.3;3;6;13;3.5;2;5;10;0.4;6.5;76.3;158.1;0.2;112;609.1;959;0.6;12.1;23.9;38.3;0.1;93;517.5;641.3;0.1;114;535.1;781.8;0;206.8;1388;1967;0.1;372.2;435;526;0.6;2.7;116.5;304.3;1;0.4;49.3;150.7;1.2;0.1;28.9;87.4;1.2;10.9;39.5;79.6;1.7;8.5;24.5;58.6;1.2;9.2;32.9;53.6;3.9;1.8;1.8;1.8;1.6;6.1;0.4;42.4;48.4;68;0.6;36;51.9;64;1.2;1;11;13.9;20.8;0.5;1.1;2.7;8;12;63;1.4
1202;BU0363AD07;Amsterdam                               ;Buurt     ;BU0363AD07;2;0.5;5.3;48.8;122.2;3.5;0.5;0.5;3;6;13;3.5;2;5;10;0.4;8.6;73.1;158;0.1;120;580.4;954.8;0.5;12;24;38.5;0.1;116.5;505.1;640.1;0.1;131.2;519.9;775.8;0.1;225.8;1338;1954;0.2;370.1;435.1;525.3;0.8;2.1;105.8;301.6;1.1;0;46.4;148.8;1.2;0;26.8;86.8;1.4;9.7;37.8;79.8;1.7;7.4;23;58.8;1.4;8.2;31.7;54;3.9;1.5;1.5;1.8;1.6;6;0.3;42.2;48.2;67.9;0.7;36;51.8;64;1.5;1.1;11;14;20.5;0.6;1.1;2.7;8;12;63;1.5
1203;BU0363AD08;Amsterdam                               ;Buurt     ;BU0363AD08;2;0.9;2.6;46.1;121.2;3.4;0.8;1.1;2.8;6;12.9;3.4;1.8;5;9.9;0.4;6;71.4;156.1;0;82.8;565.9;952.7;0.6;12.4;24;37.4;0.1;81.5;491.7;639.9;0;83.4;510;777;0;158.6;1305;1955;0.2;367.3;435.5;520.1;1;0.7;91.1;297.3;1.2;0.3;40;145.5;1.3;0.1;23.3;84.3;1.5;11.7;38.2;80;2;8.5;23.1;59;1.5;9.8;31.1;54;4.3;1.8;1.8;2;1.9;5.9;0.3;42.3;48.6;66.7;0.4;36;52;62.9;1.5;0.9;11;14;19;0.8;1.4;2.5;7.7;12.2;63;2
1204;WK0363AE  ;Amsterdam                               ;Wijk      ;WK0363AE  ;2;0.5;3.5;44.5;121.1;3.2;0.4;1.1;2.7;6;13;3.2;1.7;5;10;0.3;7.8;68.6;154.2;0.1;83;523.7;946.8;0.7;11.6;23.8;37.3;0.1;124.9;478.9;640.4;0.1;99.9;484.1;768;0.1;207.6;1219;1926;0.1;365.5;436.5;517;0.5;3.4;80.9;286;0.7;1.9;40.7;141.6;0.8;1;22.2;83.9;1.9;8.4;38.6;79.2;1.9;5.7;23.3;58.2;1.9;7.8;29.4;54;4.4;1.1;1.1;1.2;2.1;5.4;0.3;43;47.4;66.6;0.5;35.7;50.3;62.4;2.1;1.2;11.4;14;18.9;0.5;1.7;2.2;7.7;12.9;62.3;2
