Wijk;Totaal misdrijven
Haarlemmerbuurt;84
Jordaan;175
Grachtengordel-West;78
Burgwallen-Nieuwe Zijde;473
Burgwallen-Oude Zijde;241
Nieuwmarkt/Lastage;151
Grachtengordel-Zuid;255
De Weteringschans;197
Weesperbuurt/Plantage;78
Oostelijke Eilanden/Kadijken;111
Havens-West;27
Coenhaven/Minervahaven;30
Sloterdijk-West;51
Spaarndammerbuurt/Zeeheldenbuurt;91
Houthavens;20
De Kolenkit;53
Landlust;107
Erasmuspark;29
Centrale Markt;19
Staatsliedenbuurt;56
Frederik Hendrikbuurt;62
Van Galenbuurt;43
Geuzenbuurt;26
Hoofdweg e.o.;49
Chassébuurt;16
Bellamybuurt;51
Da Costabuurt;52
Westindische Buurt;19
Van Lennepbuurt;59
Overtoomse Sluis;48
Helmersbuurt;68
Vondelparkbuurt;47
Sloterdijk Nieuw-West;159
Geuzenveld;80
Slotermeer-West;101
Slotermeer-Noordoost;61
Slotermeer-Zuidoost;67
Lutkemeer/Ookmeer;10
De Aker;48
De Punt;43
Osdorp-Midden;94
Osdorp-Oost;125
Slotervaart-Noord;41
Overtoomse Veld;114
Slotervaart-Zuid;65
Westlandgracht;96
Sloten/Nieuw-Sloten;71
Hoofddorppleinbuurt;109
Schinkelbuurt;17
Willemspark;47
Museumkwartier;172
Oude Pijp;163
Nieuwe Pijp;79
Zuid Pijp;29
Stadionbuurt;78
Apollobuurt;74
Scheldebuurt;102
IJselbuurt;38
Rijnbuurt;40
Prinses Irenebuurt e.o.;14
Zuidas;149
Buitenveldert-West;65
Buitenveldert-Oost;42
Oostelijk Havengebied;93
Weesperzijde;67
Oosterparkbuurt;118
Transvaalbuurt;45
Dapperbuurt;116
Indische Buurt-West;49
Indische Buurt-Oost;52
Zeeburgereiland/Bovendiep;29
IJburg-West;46
IJburg-Oost;5
IJburg-Zuid;22
Frankendael;108
Middenmeer;83
Betondorp;9
Omval/Overamstel;48
Oostzanerwerf;37
Noordelijke IJ-oevers-West;89
Tuindorp Oostzaan;48
Kadoelen;15
Banne Buiksloot;75
Nieuwendammerdijk/Buiksloterdijk;7
Elzenhagen;43
Buikslotermeer;91
Waterlandpleinbuurt;65
Volewijck;57
IJplein/Vogelbuurt;44
Tuindorp Buiksloot;7
Tuindorp Nieuwendam;12
Noordelijke IJ-oevers-Oost;16
Waterland;11
Driemond;7
Bloemendalerpolder;9
Weesp-Noordwest;22
Weesp Binnenstad/Zuid;21
Aetsveld/Oostelijke Vechtoever;16
Amstel III/Bullewijk;123
Venserpolder;48
Amsterdamse Poort e.o.;165
H-buurt;48
Ganzenhoef e.o.;68
Geerdinkhof/Kantershof;33
Bijlmermuseum;40
K-buurt;22
Holendrecht;50
Nellestein;20
Reigersbos;38
Gein;36
