neighbourhood_code,neighbourhood_name,population,crime_rate_per_1000,log_crime_rate,tree_density_per_km2,light_density_per_km2,mean_dist_nightlife,mean_dist_mobility,mean_dist_retail,mean_dist_education,mean_dist_culture_sport,mean_dist_emergency_health
WK0363AA,Haarlemmerbuurt,9135,7.991242474001094,2.196251045163193,1040.7407407407406,1092.5925925925926,0.7833333333333333,2.1999999999999997,0.4666666666666666,0.6000000000000001,2.4,2.35
WK0363AB,Jordaan,19545,7.674597083653108,2.160398879065886,1274.7368421052631,1400.0,0.5666666666666667,2.6,0.6,0.6333333333333333,2.183333333333333,1.7833333333333332
WK0363AC,Grachtengordel-West,6585,13.971146545178435,2.7061247850229866,1396.4912280701756,1166.6666666666667,0.5666666666666668,2.4,0.5,0.7833333333333333,2.183333333333333,1.8666666666666665
WK0363AD,Burgwallen-Nieuwe Zijde,4335,104.26758938869665,4.656505578682114,613.6986301369864,1235.6164383561645,0.5666666666666667,2.3333333333333335,0.3666666666666667,1.15,2.216666666666667,1.8500000000000003
WK0363AE,Burgwallen-Oude Zijde,4565,56.73603504928806,4.055881502831033,1057.5,2152.5,0.6166666666666668,2.1999999999999997,0.3666666666666667,1.2833333333333332,1.95,1.7333333333333336
WK0363AF,Nieuwmarkt/Lastage,9910,15.943491422805247,2.829883773229481,1122.429906542056,1189.7196261682243,0.7999999999999999,2.4666666666666663,0.7000000000000001,1.25,1.8666666666666665,1.7666666666666666
WK0363AG,Grachtengordel-Zuid,5865,39.21568627450981,3.694257125348055,1285.9375,1090.625,0.4000000000000001,2.8333333333333335,0.5,0.9833333333333334,1.9333333333333336,1.5999999999999999
WK0363AH,De Weteringschans,7555,22.369291859695565,3.1514228468377405,1661.5384615384614,1401.5384615384614,0.46666666666666673,3.033333333333333,0.7333333333333334,0.7666666666666667,1.8500000000000003,1.5833333333333333
WK0363AJ,Weesperbuurt/Plantage,7835,9.317166560306317,2.3338091642455856,1534.782608695652,816.3043478260869,0.7333333333333334,2.766666666666667,0.9666666666666667,0.8166666666666668,1.5333333333333334,1.2
WK0363AK,Oostelijke Eilanden/Kadijken,14670,5.589638718473075,1.8854985243216238,1890.0,1011.5384615384615,1.05,2.6999999999999997,1.0,1.0833333333333333,2.0,1.6666666666666667
WK0363BB,Coenhaven/Minervahaven,975,33.84615384615385,3.550942768021497,42.27405247813411,194.46064139941691,2.316666666666667,3.3666666666666667,2.1,1.7166666666666668,4.133333333333333,3.783333333333333
WK0363EA,Sloterdijk-West,660,57.57575757575758,4.070320917741851,2072.727272727273,509.91735537190084,1.5666666666666667,1.6333333333333335,1.1333333333333335,1.2666666666666666,3.5333333333333328,2.1333333333333333
