Wijk;Totaal misdrijven
Haarlemmerbuurt;67
Jordaan;171
Grachtengordel-West;190
Burgwallen-Nieuwe Zijde;403
Burgwallen-Oude Zijde;261
Nieuwmarkt/Lastage;182
Grachtengordel-Zuid;366
De Weteringschans;169
Weesperbuurt/Plantage;56
Oostelijke Eilanden/Kadijken;88
Havens-West;17
Coenhaven/Minervahaven;40
Sloterdijk-West;34
Spaarndammerbuurt/Zeeheldenbuurt;71
Houthavens;14
De Kolenkit;44
Landlust;76
Erasmuspark;26
Centrale Markt;13
Staatsliedenbuurt;48
Frederik Hendrikbuurt;49
Van Galenbuurt;41
Geuzenbuurt;36
Hoofdweg e.o.;60
Chassébuurt;17
Bellamybuurt;45
Da Costabuurt;31
Westindische Buurt;28
Van Lennepbuurt;40
Overtoomse Sluis;18
Helmersbuurt;59
Vondelparkbuurt;32
Sloterdijk Nieuw-West;135
Geuzenveld;70
Slotermeer-West;55
Slotermeer-Noordoost;45
Slotermeer-Zuidoost;111
Lutkemeer/Ookmeer;18
De Aker;22
De Punt;34
Osdorp-Midden;60
Osdorp-Oost;83
Slotervaart-Noord;40
Overtoomse Veld;80
Slotervaart-Zuid;56
Westlandgracht;79
Sloten/Nieuw-Sloten;50
Hoofddorppleinbuurt;72
Schinkelbuurt;18
Willemspark;29
Museumkwartier;149
Oude Pijp;111
Nieuwe Pijp;63
Zuid Pijp;20
Stadionbuurt;59
Apollobuurt;50
Scheldebuurt;83
IJselbuurt;16
Rijnbuurt;51
Prinses Irenebuurt e.o.;9
Zuidas;111
Buitenveldert-West;68
Buitenveldert-Oost;42
Oostelijk Havengebied;63
Weesperzijde;44
Oosterparkbuurt;116
Transvaalbuurt;29
Dapperbuurt;98
Indische Buurt-West;51
Indische Buurt-Oost;36
Zeeburgereiland/Bovendiep;27
IJburg-West;33
IJburg-Oost;5
IJburg-Zuid;21
Frankendael;94
Middenmeer;72
Betondorp;8
Omval/Overamstel;54
Oostzanerwerf;31
Noordelijke IJ-oevers-West;73
Tuindorp Oostzaan;44
Kadoelen;12
Banne Buiksloot;31
Nieuwendammerdijk/Buiksloterdijk;4
Elzenhagen;20
Buikslotermeer;127
Waterlandpleinbuurt;52
Volewijck;67
IJplein/Vogelbuurt;48
Tuindorp Buiksloot;4
Tuindorp Nieuwendam;12
Noordelijke IJ-oevers-Oost;8
Waterland;8
Driemond;0
Bloemendalerpolder;8
Weesp-Noordwest;31
Weesp Binnenstad/Zuid;25
Aetsveld/Oostelijke Vechtoever;11
Amstel III/Bullewijk;88
Venserpolder;30
Amsterdamse Poort e.o.;111
H-buurt;29
Ganzenhoef e.o.;53
Geerdinkhof/Kantershof;28
Bijlmermuseum;58
K-buurt;19
Holendrecht;28
Nellestein;25
Reigersbos;38
Gein;33
