ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1545;BU0363MA09;Amsterdam                               ;Buurt     ;BU0363MA09;2;1.3;3.2;1.3;3.2;3.2;1.3;1.1;1.9;0.8;0.3;0.5;0.5;0.4;0.4;1.4;1.6;1.6;1.8;3.8;2.2;4.2;1.2;2.9;3.2;2.3;2.2;2.9;3.2;1.7;2.3;3.1;2.2
1546;BU0363MA10;Amsterdam                               ;Buurt     ;BU0363MA10;2;1.6;3.4;1.6;3.4;3.4;1.6;1.4;2.2;0.2;0.7;0.2;0.3;0.3;0.3;1.7;1.9;1.9;2.0;4.1;2.5;4.5;1.5;3.2;3.4;2.6;2.5;3.2;3.5;2.0;2.6;3.4;2.5
1547;BU0363MA11;Amsterdam                               ;Buurt     ;BU0363MA11;2;0.7;2.4;0.7;2.4;2.4;0.7;0.5;1.3;0.4;0.5;0.3;0.6;0.3;0.4;0.8;1.0;1.0;1.1;3.2;1.4;3.4;0.6;2.2;2.6;1.6;1.4;2.2;2.4;1.1;1.6;2.4;1.5
1548;WK0363MB  ;Amsterdam                               ;Wijk      ;WK0363MB  ;2;0.7;1.2;0.7;1.2;1.2;0.5;0.4;1.7;0.5;0.3;0.1;0.5;0.5;0.6;0.6;0.6;0.8;0.6;3.1;1.4;3.3;1.3;0.6;3.4;1.7;1.0;2.0;1.4;2.7;1.3;1.8;1.5
1549;BU0363MB01;Amsterdam                               ;Buurt     ;BU0363MB01;2;0.6;1.0;0.6;1.0;1.0;0.3;0.4;1.6;0.3;0.2;0.1;0.6;0.3;0.5;0.6;0.5;0.6;0.5;3.2;1.7;2.9;1.0;0.7;3.6;1.4;0.7;2.1;1.1;2.5;1.0;1.5;1.8
1550;BU0363MB02;Amsterdam                               ;Buurt     ;BU0363MB02;2;0.8;1.4;0.8;1.4;1.4;0.7;0.4;1.8;0.6;0.4;0.1;0.5;0.5;0.7;0.5;0.7;0.9;0.7;3.0;1.2;3.5;1.6;0.5;3.4;1.9;1.2;2.0;1.6;2.8;1.4;2.1;1.4
1551;BU0363MB03;Amsterdam                               ;Buurt     ;BU0363MB03;2;0.5;1.0;0.5;1.0;1.0;0.5;0.4;1.7;0.4;0.3;0.2;0.4;0.7;0.8;0.9;0.5;0.7;0.5;3.5;1.6;3.4;1.2;0.4;3.2;1.6;0.9;1.7;1.4;2.5;1.3;1.8;1.6
1552;WK0363MC  ;Amsterdam                               ;Wijk      ;WK0363MC  ;2;0.4;0.7;0.4;0.7;0.7;0.4;0.3;1.4;0.3;0.3;0.2;0.5;0.3;0.4;0.5;0.5;0.6;0.5;3.4;1.4;3.3;1.0;0.8;3.0;1.3;0.6;1.5;1.2;2.1;1.1;1.6;1.3
1553;BU0363MC01;Amsterdam                               ;Buurt     ;BU0363MC01;2;0.3;0.6;0.4;0.6;0.6;0.4;0.5;1.8;0.3;0.3;0.2;0.5;0.3;0.4;0.6;0.6;0.7;0.6;3.6;1.7;3.0;1.3;1.0;3.4;1.1;0.3;1.9;1.0;2.4;1.1;1.4;1.6
1554;BU0363MC02;Amsterdam                               ;Buurt     ;BU0363MC02;2;0.4;0.6;0.5;0.6;0.6;0.4;0.4;1.5;0.6;0.6;0.4;0.0;0.1;0.1;0.7;0.1;0.1;0.1;3.8;1.3;3.0;1.1;1.3;3.1;0.5;0.4;1.6;0.7;2.0;0.5;1.0;1.2
1555;BU0363MC03;Amsterdam                               ;Buurt     ;BU0363MC03;2;0.3;0.7;0.2;0.7;0.7;0.3;0.2;1.5;0.2;0.2;0.2;0.6;0.3;0.6;0.6;0.3;0.3;0.3;3.3;1.4;3.3;1.0;0.6;3.0;1.4;0.6;1.5;1.3;2.2;1.3;1.7;1.3
1556;BU0363MC04;Amsterdam                               ;Buurt     ;BU0363MC04;2;0.5;0.8;0.5;0.8;0.8;0.4;0.3;1.0;0.4;0.2;0.3;0.4;0.4;0.3;0.3;0.6;0.6;0.6;3.2;1.0;3.7;0.6;0.8;2.6;1.2;0.8;1.1;1.4;1.8;1.0;1.8;0.9
1557;WK0363MD  ;Amsterdam                               ;Wijk      ;WK0363MD  ;2;0.7;1.1;0.5;1.1;1.1;0.4;0.2;0.9;0.3;0.3;0.2;0.6;0.4;0.4;0.4;0.7;0.8;0.7;2.8;1.1;4.0;0.9;0.7;2.4;1.6;1.1;1.2;1.7;2.1;0.8;2.1;1.1
1558;BU0363MD01;Amsterdam                               ;Buurt     ;BU0363MD01;2;0.8;1.1;0.4;1.1;1.1;0.4;0.3;1.2;0.3;0.3;0.2;0.7;0.3;0.4;0.3;0.7;0.9;0.8;2.8;1.0;3.9;1.2;0.8;2.7;1.8;1.2;1.5;1.7;2.4;1.1;2.1;1.2
1559;BU0363MD02;Amsterdam                               ;Buurt     ;BU0363MD02;2;0.6;1.1;0.5;1.1;1.1;0.3;0.2;0.7;0.3;0.3;0.2;0.5;0.5;0.5;0.5;0.7;0.7;0.7;2.9;1.2;4.0;0.8;0.5;2.2;1.5;1.0;1.0;1.8;1.9;0.6;2.1;1.1
1560;WK0363ME  ;Amsterdam                               ;Wijk      ;WK0363ME  ;2;0.3;1.4;0.5;1.4;1.4;0.3;0.2;1.1;0.2;0.2;0.1;0.5;0.3;0.4;0.4;0.5;0.8;0.5;3.4;0.6;3.3;0.7;1.0;2.4;0.8;0.4;1.1;1.7;1.2;0.6;1.6;0.5
1561;BU0363ME01;Amsterdam                               ;Buurt     ;BU0363ME01;2;0.3;1.4;0.5;1.4;1.4;0.4;0.2;1.5;0.2;0.2;0.2;0.6;0.4;0.6;0.6;0.6;0.9;0.6;3.7;0.7;3.0;0.9;1.3;2.7;0.6;0.6;1.5;1.5;1.4;0.5;1.4;0.7
1562;BU0363ME02;Amsterdam                               ;Buurt     ;BU0363ME02;2;0.3;1.3;0.3;1.3;1.3;0.3;0.1;1.0;0.2;0.2;0.1;0.4;0.2;0.3;0.3;0.3;0.9;0.3;3.3;0.4;3.3;0.6;0.9;2.3;0.8;0.3;1.1;1.6;1.1;0.5;1.6;0.3
1563;BU0363ME03;Amsterdam                               ;Buurt     ;BU0363ME03;2;0.4;1.7;0.7;1.7;1.7;0.3;0.3;0.5;0.5;0.3;0.2;0.3;0.3;0.3;0.3;0.4;0.4;0.4;2.9;0.6;3.8;0.7;0.6;1.8;1.4;0.4;0.4;2.2;1.2;0.8;2.1;0.7
1564;WK0363MF  ;Amsterdam                               ;Wijk      ;WK0363MF  ;2;0.4;2.0;0.4;2.0;2.0;0.3;0.2;1.6;0.3;0.2;0.2;0.8;0.3;0.5;0.5;0.7;0.8;0.8;3.3;0.8;3.6;0.5;1.6;2.1;1.5;1.0;1.6;2.3;0.6;1.2;2.2;0.8
1565;BU0363MF01;Amsterdam                               ;Buurt     ;BU0363MF01;2;0.5;2.1;0.5;2.1;2.1;0.3;0.2;1.6;0.2;0.2;0.2;0.6;0.3;0.5;0.4;0.7;0.8;1.0;3.4;1.0;3.3;0.4;1.7;2.4;1.3;1.0;1.8;2.1;0.9;1.2;2.1;1.0
1566;BU0363MF02;Amsterdam                               ;Buurt     ;BU0363MF02;2;0.3;1.9;0.3;1.9;1.9;0.3;0.2;1.6;0.3;0.2;0.1;0.9;0.3;0.5;0.6;0.7;0.8;0.7;3.5;0.7;3.5;0.6;1.5;2.2;1.4;0.9;1.5;2.3;0.7;1.2;2.2;0.7
1567;BU0363MF03;Amsterdam                               ;Buurt     ;BU0363MF03;2;0.2;2.0;0.3;2.0;2.0;0.4;0.2;1.5;0.3;0.3;0.3;1.0;0.2;0.5;0.6;0.7;0.7;0.8;3.1;0.8;3.8;0.7;1.5;1.8;1.7;1.1;1.4;2.5;0.3;1.4;2.4;0.8
1568;WK0363MG  ;Amsterdam                               ;Wijk      ;WK0363MG  ;2;0.5;2.5;0.6;2.5;2.5;0.5;0.4;1.6;0.4;0.4;0.3;1.0;0.3;0.4;0.3;0.5;0.5;1.3;2.9;1.3;3.9;0.5;2.0;2.1;1.9;1.4;1.9;2.8;0.7;1.7;2.7;1.3
1569;BU0363MG01;Amsterdam                               ;Buurt     ;BU0363MG01;2;0.4;2.5;0.5;2.5;2.5;0.5;0.3;1.6;0.4;0.4;0.3;0.8;0.3;0.4;0.3;0.5;0.5;1.3;2.9;1.4;3.8;0.5;2.1;2.3;1.8;1.4;2.1;2.7;0.9;1.7;2.6;1.4
1570;BU0363MG02;Amsterdam                               ;Buurt     ;BU0363MG02;2;0.7;3.0;1.1;3.0;3.0;1.1;0.8;1.8;0.8;0.6;0.6;0.7;0.4;0.4;0.7;0.9;0.9;1.7;2.3;1.9;4.1;1.0;2.6;2.8;2.1;2.0;2.5;3.0;1.3;2.1;2.9;1.9
1571;BU0363MG03;Amsterdam                               ;Buurt     ;BU0363MG03;2;0.5;2.4;0.5;2.4;2.4;0.3;0.4;1.6;0.4;0.3;0.3;1.2;0.2;0.4;0.3;0.4;0.4;1.2;3.0;1.2;4.1;0.6;1.8;1.8;2.0;1.4;1.5;2.9;0.4;1.6;2.8;1.2
1572;BU0363MG04;Amsterdam                               ;Buurt     ;BU0363MG04;2;1.3;3.3;1.5;3.3;3.3;1.2;1.3;2.3;0.5;1.0;1.2;1.5;1.1;0.8;1.3;1.4;1.4;2.1;3.1;2.1;4.8;1.6;2.5;2.5;2.8;2.2;2.2;3.7;1.3;2.3;3.6;2.2
1573;WK0363MH  ;Amsterdam                               ;Wijk      ;WK0363MH  ;3;0.6;4.8;2.7;4.8;4.8;0.5;2.1;2.8;2.6;0.4;0.8;2.5;0.5;0.5;0.5;2.6;2.6;3.4;0.9;3.6;5.0;2.9;4.4;4.6;4.1;3.9;4.3;4.9;3.1;3.3;4.9;3.6
1574;BU0363MH01;Amsterdam                               ;Buurt     ;BU0363MH01;3;1.5;4.8;3.0;4.8;4.8;1.4;2.7;3.6;2.6;1.1;1.5;2.7;1.7;1.6;1.7;2.6;2.6;3.6;1.9;3.6;5.5;3.0;4.4;4.6;4.1;3.9;4.3;5.0;3.1;4.0;4.9;3.7
1575;BU0363MH02;Amsterdam                               ;Buurt     ;BU0363MH02;2;0.5;4.9;2.8;4.9;4.9;0.4;2.1;2.8;2.8;0.4;0.8;2.6;0.4;0.3;0.4;2.7;2.7;3.5;0.9;3.8;5.0;3.0;4.5;4.7;4.2;4.0;4.4;5.1;3.2;3.3;5.0;3.8
1576;BU0363MH03;Amsterdam                               ;Buurt     ;BU0363MH03;3;1.7;6.0;3.1;6.0;6.0;1.6;2.4;3.1;3.9;1.6;0.2;3.1;1.1;1.1;1.1;3.9;3.9;4.4;1.2;4.9;6.1;3.6;5.6;5.8;5.4;5.1;5.6;6.2;4.4;3.6;6.1;4.9
1577;BU0363MH04;Amsterdam                               ;Buurt     ;BU0363MH04;2;0.9;4.1;2.2;4.1;4.1;0.8;2.0;2.8;1.9;0.2;0.8;2.0;1.1;1.0;1.1;1.9;1.9;2.9;1.0;2.9;4.7;2.2;3.7;3.8;3.4;3.2;3.6;4.2;2.4;3.3;4.2;2.9
1578;BU0363MH05;Amsterdam                               ;Buurt     ;BU0363MH05;3;0.8;4.0;2.2;4.0;4.0;0.8;2.0;2.9;1.9;0.1;0.8;1.9;1.1;1.1;1.1;1.9;1.9;2.9;1.0;2.9;4.7;2.2;3.6;3.8;3.4;3.1;3.6;4.2;2.4;3.3;4.1;2.9
1579;BU0363MH06;Amsterdam                               ;Buurt     ;BU0363MH06;3;2.2;4.9;2.6;4.7;4.9;2.2;2.4;3.3;2.6;1.7;0.6;2.3;2.0;1.9;2.2;2.3;2.3;3.2;2.5;3.5;5.9;2.7;4.1;4.6;4.0;3.7;4.5;5.0;3.1;3.7;4.5;3.5
1580;WK0363MJ  ;Amsterdam                               ;Wijk      ;WK0363MJ  ;3;0.6;7.0;0.7;7.0;7.0;0.7;0.4;0.8;4.9;0.6;0.3;0.7;0.2;0.2;0.3;1.6;1.6;1.6;1.7;5.8;7.1;0.8;6.2;6.8;6.3;6.1;6.5;7.2;5.3;0.9;6.4;5.9
1581;BU0363MJ01;Amsterdam                               ;Buurt     ;BU0363MJ01;2;0.3;6.2;1.2;6.2;6.2;1.1;0.3;1.2;4.1;1.1;0.3;1.2;0.2;0.2;0.5;2.5;2.5;2.5;0.9;5.1;6.3;1.7;5.8;6.0;5.6;5.3;5.8;6.4;4.6;1.6;6.3;5.1
1582;BU0363MJ02;Amsterdam                               ;Buurt     ;BU0363MJ02;3;0.6;6.3;1.1;6.3;6.3;1.1;0.7;1.1;4.1;1.0;0.6;1.1;0.2;0.2;0.4;2.4;2.4;2.4;1.0;5.1;6.4;1.6;5.9;6.0;5.6;5.4;5.8;6.4;4.6;1.6;6.3;5.1
1583;BU0363MJ03;Amsterdam                               ;Buurt     ;BU0363MJ03;2;0.7;7.4;0.6;7.4;7.4;0.6;0.3;0.8;5.3;0.6;0.3;0.8;0.3;0.3;0.3;1.3;1.3;1.3;2.1;6.3;7.5;0.6;6.5;7.2;6.8;6.5;7.0;7.6;5.8;0.6;6.5;6.3
1584;BU0363MJ04;Amsterdam                               ;Buurt     ;BU0363MJ04;3;0.7;6.9;0.3;6.9;6.9;0.3;0.4;0.3;4.7;0.3;0.2;0.4;0.2;0.2;0.2;1.7;1.7;1.7;1.6;5.7;7.0;0.6;6.5;6.7;6.2;6.0;6.4;7.0;5.2;0.9;6.7;5.7
1585;BU0363MJ05;Amsterdam                               ;Buurt     ;BU0363MJ05;2;0.6;7.5;0.6;7.5;7.5;0.6;0.3;0.7;5.3;0.4;0.3;0.6;0.2;0.2;0.3;1.1;1.1;1.1;2.2;6.3;7.6;0.4;6.3;7.3;6.8;6.6;7.0;7.7;5.8;0.6;6.2;6.3
1586;WK0363MK  ;Amsterdam                               ;Wijk      ;WK0363MK  ;3;0.9;9.0;0.9;7.3;9.0;0.8;0.8;2.3;5.8;0.8;0.8;1.0;0.6;0.7;0.8;1.0;1.0;1.0;2.5;5.7;7.9;1.7;5.0;8.2;6.3;6.1;8.5;9.2;6.2;2.0;4.9;5.7
1587;BU0363MK01;Amsterdam                               ;Buurt     ;BU0363MK01;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1588;BU0363MK02;Amsterdam                               ;Buurt     ;BU0363MK02;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1589;BU0363MK03;Amsterdam                               ;Buurt     ;BU0363MK03;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1590;BU0363MK04;Amsterdam                               ;Buurt     ;BU0363MK04;2;0.9;9.0;0.9;7.3;9.0;0.8;0.8;2.3;5.8;0.8;0.8;1.0;0.6;0.7;0.8;1.0;1.0;1.0;2.5;5.7;7.9;1.7;5.0;8.2;6.3;6.1;8.5;9.2;6.2;2.0;4.9;5.7
1591;BU0363MK05;Amsterdam                               ;Buurt     ;BU0363MK05;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1592;WK0363ML  ;Amsterdam                               ;Wijk      ;WK0363ML  ;2;0.6;8.4;0.6;7.7;8.4;0.6;0.5;1.7;6.0;0.5;0.5;0.9;0.2;0.4;0.4;0.6;0.6;0.6;2.7;6.1;8.1;1.4;5.4;8.1;6.7;6.5;7.9;8.6;6.4;1.4;5.3;6.1
1593;BU0363ML01;Amsterdam                               ;Buurt     ;BU0363ML01;2;0.4;8.0;0.4;7.9;8.0;0.4;0.4;1.4;5.9;0.2;0.2;0.6;0.2;0.3;0.3;0.4;0.4;0.4;2.7;6.4;8.1;1.0;5.6;7.8;7.0;6.8;7.6;8.2;6.4;1.0;5.5;6.3
1594;BU0363ML02;Amsterdam                               ;Buurt     ;BU0363ML02;2;0.6;8.5;0.6;7.6;8.5;0.6;0.6;1.8;6.0;0.6;0.5;1.0;0.2;0.3;0.3;0.6;0.6;0.6;2.7;6.0;8.1;1.5;5.2;8.2;6.6;6.4;8.0;8.6;6.4;1.4;5.2;5.9
1595;BU0363ML03;Amsterdam                               ;Buurt     ;BU0363ML03;2;1.3;9.0;1.3;8.2;9.0;1.3;1.2;2.4;6.7;1.3;1.3;1.7;0.7;0.8;0.9;1.2;1.2;1.2;3.4;6.6;8.7;2.0;5.8;8.8;7.2;7.0;8.6;9.2;7.0;2.0;5.7;6.5
1596;WK0363MM  ;Amsterdam                               ;Wijk      ;WK0363MM  ;2;0.5;2.1;1.0;2.1;2.1;0.7;0.4;1.4;1.0;0.4;0.3;0.6;0.4;0.5;0.9;0.7;0.9;0.8;2.5;1.1;4.2;1.7;1.3;2.1;1.4;1.9;2.0;2.6;2.3;1.2;3.0;1.3
1597;BU0363MM01;Amsterdam                               ;Buurt     ;BU0363MM01;2;0.6;2.3;1.2;2.3;2.3;0.9;0.7;2.3;0.9;0.5;0.4;0.7;0.8;1.0;1.0;0.6;0.6;1.1;2.3;0.7;4.1;1.2;1.4;3.1;2.1;1.9;2.6;2.5;3.0;0.6;3.1;0.8
1598;BU0363MM02;Amsterdam                               ;Buurt     ;BU0363MM02;2;0.6;1.6;0.8;1.6;1.6;0.4;0.4;1.5;0.8;0.2;0.2;0.2;0.6;0.8;0.9;0.4;0.7;0.5;2.5;0.8;4.0;1.6;0.9;2.5;1.7;1.6;1.8;2.1;2.4;1.0;2.5;0.9
1599;BU0363MM03;Amsterdam                               ;Buurt     ;BU0363MM03;2;0.4;1.7;0.9;1.7;1.7;0.4;0.3;0.9;0.6;0.5;0.3;0.6;0.3;0.3;0.8;0.5;0.9;0.5;2.6;1.3;4.4;1.0;0.8;1.9;1.5;1.2;1.2;2.3;1.8;0.5;2.5;1.2
1600;BU0363MM04;Amsterdam                               ;Buurt     ;BU0363MM04;2;0.7;2.3;1.2;2.3;2.3;1.1;0.5;1.7;1.4;0.5;0.6;0.4;0.5;0.5;1.3;1.0;1.0;1.1;2.7;0.8;3.9;2.1;1.6;2.3;1.5;2.3;2.5;2.8;2.6;1.4;3.3;1.2
1601;BU0363MM05;Amsterdam                               ;Buurt     ;BU0363MM05;2;0.4;1.9;0.7;1.9;1.9;0.3;0.3;0.8;0.4;0.2;0.2;0.7;0.2;0.4;0.5;0.3;0.4;0.7;2.0;1.3;4.4;1.1;0.9;1.4;1.0;1.3;1.3;2.5;1.6;0.6;2.6;1.3
1602;BU0363MM06;Amsterdam                               ;Buurt     ;BU0363MM06;2;0.1;2.6;1.6;2.6;2.6;1.3;0.2;1.9;1.6;0.6;0.1;0.6;0.5;0.5;1.6;1.3;1.5;1.3;3.1;1.2;4.3;2.5;2.0;2.4;1.6;2.7;2.7;3.2;2.7;1.9;3.7;1.6
1603;BU0363MM07;Amsterdam                               ;Buurt     ;BU0363MM07;2;0.4;2.5;1.4;2.5;2.5;1.2;0.3;1.8;1.5;0.3;0.4;0.5;0.3;0.3;1.5;1.2;1.4;1.2;3.0;1.1;4.2;2.4;1.9;2.3;1.5;2.6;2.6;3.1;2.6;1.8;3.6;1.5
1604;BU0363MM08;Amsterdam                               ;Buurt     ;BU0363MM08;2;0.5;2.3;0.5;2.3;2.3;0.7;0.6;0.8;0.9;0.4;0.4;1.0;0.2;0.4;0.4;0.7;0.8;1.0;1.8;1.5;4.5;1.8;1.5;1.1;0.5;2.0;2.0;2.9;2.0;1.3;3.2;1.9
1605;WK0363MN  ;Amsterdam                               ;Wijk      ;WK0363MN  ;2;0.6;2.7;0.8;2.7;2.7;0.5;0.5;0.9;0.7;0.5;0.3;1.3;0.4;0.5;0.7;0.7;0.7;1.5;2.0;1.1;4.5;1.4;1.4;1.1;1.3;1.5;1.6;3.2;1.2;1.2;3.0;1.6
1606;BU0363MN01;Amsterdam                               ;Buurt     ;BU0363MN01;2;0.3;2.0;0.8;2.0;2.0;0.4;0.2;0.7;0.4;0.2;0.2;0.6;0.2;0.3;0.3;0.5;0.5;0.9;2.2;1.2;4.4;0.9;0.7;1.3;1.3;1.1;1.1;2.6;1.3;0.5;2.5;1.2
1607;BU0363MN02;Amsterdam                               ;Buurt     ;BU0363MN02;2;0.2;2.2;0.8;2.2;2.2;0.5;0.3;0.8;0.6;0.3;0.2;0.8;0.3;0.1;0.2;0.6;0.6;0.9;2.4;0.9;4.3;1.1;1.0;1.1;1.4;0.9;0.9;2.8;0.9;0.8;2.7;1.1
1608;BU0363MN03;Amsterdam                               ;Buurt     ;BU0363MN03;2;0.4;2.6;0.4;2.6;2.6;0.4;0.3;0.4;0.8;0.3;0.3;1.3;0.3;0.4;0.6;0.3;0.3;1.4;1.8;1.2;4.7;1.5;1.4;0.6;0.9;1.5;1.5;3.2;1.2;1.2;3.1;1.7
1609;BU0363MN04;Amsterdam                               ;Buurt     ;BU0363MN04;2;1.1;3.1;1.2;3.1;3.1;0.3;1.1;1.5;0.8;0.8;0.3;1.8;0.6;1.0;1.2;1.0;1.0;1.8;2.3;0.6;4.9;1.4;2.1;1.3;1.8;1.8;1.8;3.6;1.0;1.9;3.6;2.0
1610;BU0363MN05;Amsterdam                               ;Buurt     ;BU0363MN05;2;2.0;4.1;2.0;4.1;4.1;1.3;2.0;2.1;1.8;1.8;0.9;2.6;1.7;1.7;2.1;1.6;1.6;2.8;2.2;1.2;5.5;2.4;3.1;1.9;2.3;2.8;2.9;4.6;2.0;2.9;4.5;2.9
1611;BU0363MN06;Amsterdam                               ;Buurt     ;BU0363MN06;2;0.7;2.9;0.5;2.9;2.9;0.4;0.4;0.5;1.0;0.4;0.4;1.6;0.6;0.5;0.8;0.6;0.6;1.8;1.5;1.2;4.6;1.9;1.6;0.5;0.6;2.0;2.0;3.5;1.8;1.4;3.4;2.2
1612;BU0363MN07;Amsterdam                               ;Buurt     ;BU0363MN07;2;1.5;3.5;1.5;3.5;3.5;0.7;1.4;1.5;1.2;1.2;0.4;2.2;1.2;1.1;1.6;1.0;1.0;2.3;2.1;0.5;5.3;1.8;2.5;1.1;1.7;2.2;2.2;4.1;1.5;2.3;4.0;2.4
1613;BU0363MN08;Amsterdam                               ;Buurt     ;BU0363MN08;2;0.8;3.6;0.8;3.6;3.6;1.3;0.7;1.3;0.8;1.1;0.6;2.3;0.8;0.9;1.4;1.6;1.6;2.5;0.8;2.1;3.9;1.6;1.6;1.5;1.3;1.8;2.8;4.2;1.7;1.5;2.9;1.8
1614;BU0363MN09;Amsterdam                               ;Buurt     ;BU0363MN09;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1615;WK0363MP  ;Amsterdam                               ;Wijk      ;WK0363MP  ;2;0.3;3.5;0.3;3.5;3.5;1.4;0.2;1.4;0.3;1.1;0.2;2.2;0.3;0.4;1.4;1.7;1.7;2.3;0.8;2.1;3.8;1.6;1.6;1.6;1.3;1.9;2.9;4.1;1.7;1.5;3.0;1.8
1616;BU0363MP01;Amsterdam                               ;Buurt     ;BU0363MP01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1617;BU0363MP02;Amsterdam                               ;Buurt     ;BU0363MP02;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1618;BU0363MP03;Amsterdam                               ;Buurt     ;BU0363MP03;2;0.3;3.5;0.3;3.5;3.5;1.4;0.2;1.4;0.3;1.1;0.2;2.2;0.3;0.4;1.4;1.7;1.7;2.3;0.8;2.1;3.8;1.6;1.6;1.6;1.3;1.9;2.9;4.1;1.7;1.5;3.0;1.8
1619;WK0363MQ  ;Amsterdam                               ;Wijk      ;WK0363MQ  ;2;1.7;3.6;1.1;3.6;3.6;1.7;0.7;3.2;1.7;0.7;0.4;0.6;0.8;0.9;0.9;1.9;1.9;2.1;1.5;1.8;3.0;2.4;2.3;3.8;2.9;2.8;3.8;3.6;3.8;2.2;4.0;2.0
1620;BU0363MQ01;Amsterdam                               ;Buurt     ;BU0363MQ01;2;0.7;2.5;1.3;2.5;2.5;1.0;0.9;2.5;1.0;0.7;0.1;0.9;0.9;1.1;1.1;0.9;0.9;1.3;2.4;0.9;4.2;1.4;1.6;3.2;2.3;2.0;2.7;2.6;3.2;0.7;3.3;1.0
1621;BU0363MQ02;Amsterdam                               ;Buurt     ;BU0363MQ02;2;3.4;5.8;3.3;5.8;5.8;3.2;2.7;5.3;3.1;3.1;3.0;2.7;3.1;3.3;3.4;3.5;3.5;3.5;2.6;4.4;5.2;4.3;3.6;6.5;4.6;4.2;6.4;5.3;6.3;4.0;6.2;4.6
1622;BU0363MQ03;Amsterdam                               ;Buurt     ;BU0363MQ03;2;2.1;4.6;2.0;4.6;4.6;2.0;1.4;4.0;1.9;1.8;1.7;1.4;1.7;2.0;2.1;2.2;2.2;2.2;1.3;3.1;3.9;3.2;2.2;5.2;3.6;2.9;5.1;4.0;4.9;2.6;5.0;3.4
1623;BU0363MQ04;Amsterdam                               ;Buurt     ;BU0363MQ04;2;1.3;3.8;1.2;3.8;3.8;1.2;0.3;3.2;1.1;0.9;0.9;0.2;0.9;1.2;1.2;1.4;1.4;1.4;1.2;2.2;2.7;2.4;1.4;4.3;2.8;2.1;4.2;3.2;4.1;1.8;4.0;2.6
1624;BU0363MQ05;Amsterdam                               ;Buurt     ;BU0363MQ05;2;1.8;3.2;0.6;3.2;3.2;1.9;0.3;2.9;1.9;0.5;0.3;0.4;0.3;0.3;0.3;1.7;1.7;2.0;1.6;1.4;2.7;2.7;2.1;3.4;2.6;2.8;3.4;3.6;3.7;2.1;4.0;1.9
1625;BU0363MQ06;Amsterdam                               ;Buurt     ;BU0363MQ06;3;2.2;3.8;1.3;3.8;3.8;2.1;1.0;3.6;2.1;0.2;0.3;0.1;1.0;1.0;1.0;2.3;2.3;2.4;1.0;2.1;2.1;2.2;2.4;4.1;3.3;3.0;4.1;4.0;4.1;2.7;3.7;2.3
1626;BU0363MQ07;Amsterdam                               ;Buurt     ;BU0363MQ07;2;2.3;5.0;2.3;5.0;5.0;2.1;2.1;4.4;1.9;1.0;0.4;1.3;2.2;2.2;2.2;3.2;3.2;3.7;0.9;3.0;3.0;2.3;3.7;4.7;3.9;4.0;5.2;4.8;3.9;3.9;4.5;2.0
1627;WK0363NA  ;Amsterdam                               ;Wijk      ;WK0363NA  ;2;0.9;3.9;0.9;3.9;3.9;0.7;0.7;2.5;1.6;0.7;0.9;2.0;0.7;0.7;0.7;1.2;1.2;3.8;1.1;6.7;6.7;0.9;4.3;11.9;4.6;1.6;4.0;5.6;4.7;4.9;8.3;2.6
1628;BU0363NA01;Amsterdam                               ;Buurt     ;BU0363NA01;2;2.4;5.2;2.4;5.2;5.2;2.3;2.0;2.9;2.6;1.0;2.1;2.3;2.1;2.6;2.1;2.7;2.7;4.9;0.9;5.3;5.3;3.9;3.7;14.1;4.5;3.8;4.1;4.3;3.8;2.9;7.3;3.1
