ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1500;BU0363KK01;Amsterdam                               ;Buurt     ;BU0363KK01;2;0.3;3.1;0.4;3.1;3.1;0.4;0.3;1.2;0.7;0.4;0.2;0.5;0.5;0.6;0.7;0.7;1.0;0.7;1.3;1.3;2.3;1.4;1.7;4.8;1.3;0.8;2.6;1.2;2.8;0.9;3.2;2.1
1501;BU0363KK02;Amsterdam                               ;Buurt     ;BU0363KK02;2;0.4;3.1;0.3;3.1;3.1;0.3;0.2;1.6;0.4;0.2;0.2;0.7;0.3;0.4;0.4;1.0;1.1;1.0;1.1;1.1;2.7;1.7;1.2;4.5;1.2;0.7;2.9;1.3;2.9;0.4;3.0;2.2
1502;BU0363KK03;Amsterdam                               ;Buurt     ;BU0363KK03;2;0.3;2.9;0.4;2.9;2.9;0.4;0.2;1.8;0.3;0.2;0.3;0.7;0.2;0.5;0.5;1.1;1.1;1.1;1.3;1.3;3.1;1.5;0.9;4.1;1.3;1.0;3.1;1.5;3.1;0.4;3.2;1.9
1503;BU0363KK04;Amsterdam                               ;Buurt     ;BU0363KK04;2;0.2;2.7;0.4;2.7;2.7;0.4;0.3;2.0;0.3;0.3;0.2;0.5;0.2;0.2;0.3;0.8;0.8;0.8;1.4;1.4;3.4;1.3;0.9;3.9;1.5;1.2;3.2;1.8;3.3;0.6;3.3;1.6
1504;BU0363KK05;Amsterdam                               ;Buurt     ;BU0363KK05;2;0.8;3.5;0.9;3.5;3.5;0.8;0.9;2.6;1.0;0.4;0.5;0.9;0.3;0.3;0.7;0.4;0.4;1.2;1.0;1.1;3.4;2.1;0.4;4.7;2.1;1.1;3.9;2.4;2.9;1.0;3.0;2.4
1505;BU0363KK06;Amsterdam                               ;Buurt     ;BU0363KK06;2;0.9;3.4;1.0;3.4;3.4;0.6;1.1;2.4;1.2;0.4;0.4;0.7;0.5;0.5;1.0;0.5;0.5;1.5;0.8;0.8;3.1;2.2;0.6;5.0;2.3;1.0;3.8;2.3;2.6;1.1;2.7;2.7
1506;WK0363KL  ;Amsterdam                               ;Wijk      ;WK0363KL  ;2;0.5;2.4;0.7;2.4;2.4;0.5;0.3;1.9;0.5;0.3;0.5;0.6;0.4;0.6;0.7;0.9;0.9;1.0;1.9;1.4;3.5;1.1;1.4;3.8;1.5;1.3;2.9;1.8;3.4;0.5;3.1;1.5
1507;BU0363KL01;Amsterdam                               ;Buurt     ;BU0363KL01;2;0.5;2.6;0.6;2.6;2.6;0.6;0.2;1.8;0.3;0.3;0.4;0.6;0.2;0.6;0.7;1.0;1.0;1.0;1.6;1.6;3.1;1.2;1.2;4.1;1.2;1.3;3.0;1.5;3.5;0.6;3.2;1.9
1508;BU0363KL02;Amsterdam                               ;Buurt     ;BU0363KL02;2;0.5;2.3;0.8;2.3;2.3;0.5;0.4;2.0;0.6;0.3;0.5;0.5;0.6;0.6;0.7;0.9;0.9;1.0;2.0;1.1;3.8;1.0;1.5;3.5;1.7;1.4;2.9;2.1;3.4;0.4;3.0;1.3
1509;WK0363KM  ;Amsterdam                               ;Wijk      ;WK0363KM  ;2;0.4;3.0;0.4;3.0;3.0;0.4;0.4;2.3;0.4;0.4;0.3;0.8;0.3;0.4;0.5;0.6;0.6;0.6;1.4;1.3;3.7;1.6;0.9;4.0;1.9;1.4;3.3;2.2;3.4;0.8;3.3;1.8
