wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114,inwoners,oppervlakte_ha,oppervlakte_km2,aantal_bomen,Misdrijven_per_1000_inwoners,Lights_per_km2,Trees_per_km2
WK0363BA,Havens-West,3053,21.0,wk0363ba,3.8,5.9,3.9,5.9,5.9,3.0,2.7,4.5,2.6,1.6,2.0,3.0,3.5,3.5,3.5,3.2,3.2,3.6,2.3,2.9,3.4,4.0,5.3,12.4,4.8,5.4,8.1,6.4,6.3,4.5,4.5,3.4,35,2556.0,25.56,414,600.0,119.44444444444446,16.19718309859155
WK0363BB,Coenhaven/Minervahaven,667,33.0,wk0363bb,1.8,5.7,1.8,4.6,5.7,1.7,1.8,2.8,1.3,1.4,1.1,1.9,1.7,1.7,1.7,1.3,2.6,1.3,2.5,3.8,3.8,2.2,3.5,9.5,2.2,1.7,5.1,3.1,4.3,3.0,5.7,3.1,975,343.0,3.43,145,33.84615384615385,194.46064139941691,42.27405247813411
WK0363EA,Sloterdijk-West,617,38.0,wk0363ea,1.5,2.8,1.3,2.8,2.8,0.8,1.0,1.6,1.1,0.6,0.5,0.4,0.9,1.0,1.1,1.3,1.3,2.0,0.7,2.1,2.1,1.8,2.5,9.6,2.9,1.7,4.4,2.4,3.6,2.6,2.7,1.6,660,121.0,1.21,2508,57.57575757575758,509.91735537190084,2072.727272727273
WK0363EB,Spaarndammerbuurt/Zeeheldenbuurt,1160,81.0,wk0363eb,0.5,5.0,0.6,3.0,5.0,0.4,0.3,1.1,0.3,0.3,0.2,0.7,0.3,0.5,0.7,1.1,1.6,1.1,2.6,2.6,2.6,0.7,1.8,7.6,0.7,0.7,3.4,1.3,2.5,1.2,4.4,2.2,10815,141.0,1.41,4368,7.489597780859916,822.6950354609929,3097.872340425532
WK0363EC,Houthavens,451,17.0,wk0363ec,0.4,5.4,0.5,3.4,5.4,0.8,0.7,1.4,0.7,0.4,0.3,0.6,0.4,0.3,0.4,0.9,1.9,0.9,2.7,2.6,2.6,1.2,2.2,7.9,1.3,0.5,3.7,1.6,2.9,1.5,4.6,2.6,4660,92.0,0.92,795,3.648068669527897,490.2173913043478,864.1304347826086
WK0363ED,De Kolenkit,910,47.0,wk0363ed,0.6,1.4,0.6,1.4,1.4,0.5,0.5,0.9,0.7,0.3,0.4,0.6,0.5,0.6,0.5,1.5,1.5,1.5,0.5,2.8,3.1,1.1,1.3,10.0,1.8,1.4,4.1,2.8,2.5,1.4,1.4,2.4,11770,74.0,0.74,1834,3.9932030586236196,1229.7297297297298,2478.3783783783783
WK0363EE,Landlust,1669,101.0,wk0363ee,0.6,2.2,0.6,2.2,2.2,0.4,0.3,1.0,0.4,0.3,0.2,0.6,0.3,0.4,0.5,1.3,1.3,1.4,1.0,2.8,2.8,1.2,1.7,9.0,2.4,0.8,3.3,1.9,2.6,1.8,1.8,1.3,18640,109.0,1.09,2564,5.418454935622318,1531.1926605504586,2352.293577981651
WK0363EF,Erasmuspark,606,28.0,wk0363ef,0.3,1.7,0.5,1.7,1.7,0.5,0.3,0.7,0.4,0.3,0.2,0.9,0.3,0.4,0.5,1.5,1.5,1.5,0.7,2.9,3.0,0.8,1.0,9.3,2.3,0.8,3.4,2.2,2.5,1.1,1.1,1.9,5740,41.0,0.41,1548,4.878048780487805,1478.048780487805,3775.6097560975613
WK0363EG,Centrale Markt,407,19.0,wk0363eg,0.6,3.2,0.7,2.6,3.2,0.6,0.4,1.7,0.3,0.3,0.2,0.8,0.3,0.3,0.7,0.8,0.8,0.8,1.9,3.3,3.3,0.9,1.3,7.9,1.6,1.4,2.4,0.9,2.0,1.6,2.6,0.8,2340,57.0,0.57,887,8.119658119658121,714.0350877192983,1556.1403508771932
WK0363EH,Staatsliedenbuurt,733,53.0,wk0363eh,0.3,3.8,0.5,2.6,3.8,0.4,0.2,1.1,0.2,0.2,0.1,0.7,0.2,0.3,0.4,0.9,0.9,0.9,2.2,2.8,2.8,0.5,1.1,7.6,1.4,1.2,2.6,0.4,2.1,1.2,3.3,1.1,12970,53.0,0.53,1161,4.086353122590594,1383.0188679245282,2190.566037735849
WK0363EJ,Frederik Hendrikbuurt,532,47.0,wk0363ej,0.4,3.1,0.4,1.9,3.1,0.3,0.2,1.5,0.3,0.2,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.5,2.5,2.9,2.9,0.7,0.7,7.5,1.0,0.9,1.7,0.9,1.3,1.2,2.5,0.8,8200,42.0,0.42,861,5.7317073170731705,1266.6666666666667,2050.0
WK0363EK,Van Galenbuurt,394,32.0,wk0363ek,0.4,1.3,0.7,1.3,1.3,0.6,0.2,1.2,0.2,0.3,0.2,0.8,0.5,0.4,0.5,1.4,1.4,1.4,0.7,2.8,3.5,0.6,0.6,9.0,1.9,1.6,3.1,1.9,2.1,0.6,0.7,2.2,7910,29.0,0.29,815,4.04551201011378,1358.6206896551726,2810.344827586207
WK0363EL,Geuzenbuurt,402,35.0,wk0363el,0.5,2.0,0.5,2.0,2.0,0.4,0.3,1.5,0.4,0.3,0.2,0.8,0.2,0.4,0.5,0.8,0.8,0.8,1.6,3.5,3.6,1.2,1.4,8.2,1.9,1.2,2.4,1.2,1.6,1.2,1.6,1.5,6625,29.0,0.29,586,5.283018867924529,1386.2068965517242,2020.689655172414
WK0363EM,Hoofdweg e.o.,655,58.0,wk0363em,0.3,1.7,0.5,1.7,1.7,0.4,0.2,1.1,0.2,0.3,0.2,0.8,0.3,0.3,0.5,1.6,1.6,1.7,1.4,2.4,3.9,0.7,1.2,8.5,2.4,1.9,2.6,1.5,1.8,0.7,1.4,2.2,10150,42.0,0.42,865,5.714285714285714,1559.5238095238096,2059.5238095238096
WK0363EN,Chassébuurt,329,20.0,wk0363en,0.4,2.1,0.6,2.1,2.1,0.4,0.3,0.9,0.2,0.3,0.2,0.4,0.3,0.3,0.4,1.3,1.3,1.3,1.7,3.0,3.9,1.0,1.5,8.1,2.1,1.4,2.2,1.1,1.5,0.8,1.7,1.6,6060,28.0,0.28,424,3.3003300330033003,1175.0,1514.2857142857142
WK0363EP,Bellamybuurt,361,45.0,wk0363ep,0.4,2.6,0.7,2.3,2.6,0.4,0.2,0.8,0.2,0.2,0.1,0.4,0.3,0.6,0.5,1.2,1.2,1.3,2.3,3.1,3.6,0.6,1.8,7.4,1.6,1.0,1.6,0.6,0.8,0.6,2.3,1.2,6375,27.0,0.27,432,7.058823529411765,1337.037037037037,1600.0
WK0363EQ,Da Costabuurt,272,38.0,wk0363eq,0.3,2.9,0.5,1.8,2.9,0.2,0.2,1.3,0.2,0.2,0.1,0.3,0.3,0.4,0.4,0.9,1.0,0.9,2.6,3.0,3.0,0.7,1.2,7.0,1.1,0.5,1.2,0.8,0.5,0.9,2.5,0.6,4740,26.0,0.26,491,8.016877637130802,1046.1538461538462,1888.4615384615383
WK0363ER,Westindische Buurt,476,29.0,wk0363er,0.5,2.3,0.6,2.3,2.3,0.4,0.2,1.2,0.4,0.3,0.2,0.7,0.2,0.4,0.5,1.6,1.6,1.6,1.2,1.8,3.5,1.3,1.8,8.3,2.9,2.4,2.8,1.8,2.0,1.2,2.0,2.1,6685,35.0,0.35,683,4.338070306656694,1360.0,1951.4285714285716
WK0363ES,Van Lennepbuurt,354,42.0,wk0363es,0.4,3.0,0.7,2.3,3.0,0.3,0.2,0.7,0.2,0.2,0.2,0.4,0.4,0.5,0.4,1.0,1.0,1.2,2.5,3.1,3.7,0.6,1.9,7.2,1.7,1.1,1.4,0.9,0.7,0.6,2.6,1.4,6890,29.0,0.29,496,6.095791001451379,1220.689655172414,1710.344827586207
WK0363ET,Overtoomse Sluis,397,35.0,wk0363et,0.8,3.0,0.6,3.0,3.0,0.4,0.2,0.9,0.3,0.3,0.1,0.4,0.3,0.4,0.6,1.3,1.3,1.8,1.6,2.2,3.6,1.3,2.3,7.5,2.1,1.8,2.1,1.7,1.7,0.8,2.7,2.2,7945,31.0,0.31,505,4.405286343612335,1280.6451612903227,1629.032258064516
WK0363EU,Helmersbuurt,447,60.0,wk0363eu,0.4,3.3,0.5,2.4,3.3,0.3,0.3,1.0,0.3,0.2,0.1,0.3,0.3,0.6,0.6,0.6,0.6,1.2,2.4,2.9,3.6,1.0,1.7,6.8,1.3,1.0,1.3,1.1,1.0,0.9,3.0,1.6,7495,35.0,0.35,745,8.005336891260841,1277.142857142857,2128.571428571429
WK0363EV,Vondelparkbuurt,271,37.0,wk0363ev,0.5,3.6,0.4,2.2,3.6,0.4,0.3,1.4,0.4,0.3,0.2,0.2,0.3,0.9,1.0,0.6,0.7,1.1,2.6,3.1,3.4,1.2,1.4,6.4,1.0,0.9,1.1,1.0,1.1,1.1,3.3,1.7,1865,22.0,0.22,226,19.839142091152816,1231.8181818181818,1027.2727272727273
WK0363FA,Sloterdijk Nieuw-West,2990,123.0,wk0363fa,2.1,3.3,2.1,3.3,3.3,1.3,1.3,2.4,1.6,0.6,0.5,0.7,1.6,1.6,1.7,1.2,1.2,1.2,0.5,1.6,1.6,2.4,3.1,10.9,3.6,2.9,5.6,3.7,4.2,2.5,2.7,2.3,1185,770.0,7.7,7408,103.79746835443038,388.31168831168833,962.077922077922
WK0363FB,Geuzenveld,3088,76.0,wk0363fb,0.6,3.4,0.6,3.4,3.4,0.4,0.4,2.2,0.5,0.4,0.4,2.0,0.3,0.4,0.4,1.7,1.7,2.5,1.0,3.8,3.8,0.7,2.2,12.7,2.5,2.9,6.9,5.5,2.2,2.1,3.0,2.1,18960,383.0,3.83,10515,4.008438818565401,806.266318537859,2745.4308093994778
WK0363FC,Slotermeer-West,1479,56.0,wk0363fc,0.6,2.3,0.5,2.3,2.3,0.4,0.3,1.3,0.4,0.4,0.3,1.0,0.4,0.6,0.6,0.7,0.7,1.5,1.2,3.1,3.1,0.8,1.1,11.6,1.4,2.9,5.8,4.5,2.4,1.1,2.9,2.2,10705,91.0,0.91,2666,5.2312003736571695,1625.2747252747251,2929.6703296703295
WK0363FD,Slotermeer-Noordoost,1563,58.0,wk0363fd,0.5,2.1,0.7,2.1,2.1,0.6,0.4,0.8,0.7,0.4,0.3,0.9,0.4,0.5,0.4,1.2,1.2,1.3,0.9,3.0,3.0,1.1,1.9,10.9,1.5,2.1,5.1,3.7,3.0,1.0,2.5,2.7,9205,102.0,1.02,3158,6.300923411189571,1532.3529411764705,3096.078431372549
WK0363FE,Slotermeer-Zuidoost,1616,58.0,wk0363fe,0.9,1.4,0.9,1.4,1.4,0.8,0.5,1.1,1.0,0.6,0.4,0.8,0.6,0.5,0.6,0.5,0.5,0.6,1.2,3.1,3.6,1.1,1.2,10.8,0.7,2.4,4.9,3.7,2.0,1.4,2.0,2.4,6755,190.0,1.9,4434,8.586232420429312,850.5263157894738,2333.684210526316
WK0363FF,Lutkemeer/Ookmeer,890,16.0,wk0363ff,1.5,4.9,1.7,4.9,4.9,1.5,1.3,2.7,1.3,1.1,1.4,1.5,1.2,0.8,1.1,2.8,2.8,3.4,2.1,3.9,5.9,2.0,3.3,13.1,4.0,2.8,8.4,7.2,2.2,2.6,2.0,1.6,1250,569.0,5.69,4856,12.8,156.414762741652,853.427065026362
WK0363FG,De Aker,2258,34.0,wk0363fg,1.0,5.7,1.2,4.2,4.2,1.0,0.8,2.5,1.8,0.8,1.3,1.8,0.5,0.5,0.7,1.5,1.5,2.2,2.6,5.2,7.6,2.7,3.2,13.0,5.4,3.0,8.0,7.3,3.3,1.7,2.0,3.4,14435,164.0,1.64,4081,2.3553862140630413,1376.829268292683,2488.4146341463415
WK0363FH,De Punt,916,40.0,wk0363fh,1.1,5.4,1.1,4.3,4.3,0.5,0.4,1.5,0.5,0.3,0.4,1.2,0.3,0.5,0.4,1.5,1.5,2.3,3.1,5.2,6.8,2.1,3.6,13.1,4.5,1.9,7.9,7.3,2.1,1.5,0.7,2.3,6330,60.0,0.6,1615,6.3191153238546605,1526.6666666666667,2691.666666666667
WK0363FJ,Osdorp-Midden,1659,74.0,wk0363fj,0.6,4.6,0.7,3.4,3.4,0.5,0.4,1.1,0.9,0.5,0.3,1.0,0.3,0.4,0.4,1.0,1.0,1.4,3.0,4.4,6.4,1.6,3.0,12.2,4.1,1.6,7.1,6.4,1.9,0.8,1.4,2.0,15480,112.0,1.12,3044,4.780361757105943,1481.2499999999998,2717.8571428571427
WK0363FK,Osdorp-Oost,2508,101.0,wk0363fk,0.4,3.8,0.8,3.0,3.0,0.6,0.4,1.0,0.6,0.3,0.4,1.0,0.4,0.6,0.6,1.2,1.2,1.2,2.9,3.8,5.6,0.9,2.5,11.7,3.2,1.0,6.5,5.7,1.1,1.0,2.1,1.2,17645,177.0,1.77,4240,5.724001133465571,1416.9491525423728,2395.4802259887006
WK0363FL,Slotervaart-Noord,1622,37.0,wk0363fl,0.7,1.6,0.7,1.5,1.5,0.7,0.4,2.5,0.5,0.6,0.3,0.8,0.5,0.4,0.5,0.6,0.6,0.6,1.6,1.8,4.9,0.9,2.2,10.0,1.7,2.7,4.3,3.3,0.9,2.2,2.6,2.6,7805,155.0,1.55,3729,4.740550928891736,1046.4516129032259,2405.806451612903
WK0363FM,Overtoomse Veld,1685,82.0,wk0363fm,0.4,1.0,0.5,1.0,1.0,0.6,0.4,1.9,0.6,0.4,0.4,0.6,0.4,0.3,0.4,0.7,0.7,0.7,1.2,1.4,4.2,0.7,1.4,9.4,1.7,2.7,3.6,2.5,0.9,1.5,1.8,2.3,14670,154.0,1.54,4754,5.589638718473075,1094.155844155844,3087.0129870129867
WK0363FN,Slotervaart-Zuid,1650,63.0,wk0363fn,0.5,2.9,0.7,1.5,1.5,0.6,0.4,2.3,0.6,0.6,0.3,0.8,0.4,0.5,0.5,0.7,0.7,1.4,1.4,2.1,4.5,2.0,3.4,9.6,2.9,2.6,4.8,4.3,1.0,1.8,3.7,1.7,11085,131.0,1.31,3033,5.683355886332882,1259.5419847328244,2315.267175572519
WK0363FP,Westlandgracht,1393,85.0,wk0363fp,0.6,2.7,0.7,2.1,2.1,0.6,0.4,1.7,0.8,0.3,0.3,0.3,0.4,0.4,0.6,0.9,0.9,1.2,1.0,1.5,3.7,2.1,3.0,8.8,3.3,3.0,4.2,3.6,1.2,1.2,3.3,0.9,13195,150.0,1.5,3501,6.441834028040924,928.6666666666666,2334.0
WK0363FQ,Sloten/Nieuw-Sloten,3706,58.0,wk0363fq,0.7,4.4,1.0,2.0,2.0,0.7,0.7,2.8,1.5,0.8,0.7,1.5,0.6,0.6,0.7,1.0,1.0,1.1,1.4,4.0,5.7,2.3,3.5,10.9,4.5,2.7,6.6,6.1,1.8,2.2,3.5,2.6,14720,594.0,5.94,12312,3.9402173913043477,623.9057239057239,2072.7272727272725
WK0363KA,Hoofddorppleinbuurt,1038,76.0,wk0363ka,0.6,2.9,0.6,2.6,2.6,0.5,0.3,0.9,0.3,0.3,0.2,0.6,0.2,0.4,0.6,0.7,0.7,1.5,0.9,1.9,3.1,1.7,3.0,8.2,2.9,2.5,3.6,3.0,1.7,0.5,3.2,1.0,11765,96.0,0.96,2552,6.4598385040374,1081.25,2658.3333333333335
WK0363KB,Schinkelbuurt,316,16.0,wk0363kb,0.5,2.3,0.5,2.3,2.3,0.3,0.2,1.2,0.2,0.2,0.1,0.7,0.2,0.4,0.9,0.9,0.9,1.0,1.5,2.2,2.4,1.1,2.8,7.6,2.3,1.8,3.2,3.0,2.3,0.4,3.2,1.5,3930,35.0,0.35,960,4.071246819338422,902.8571428571429,2742.857142857143
WK0363KC,Willemspark,692,37.0,wk0363kc,0.4,2.6,0.4,2.6,2.6,0.3,0.3,1.5,0.5,0.2,0.2,0.3,0.4,0.6,0.4,0.5,0.6,0.5,1.9,2.3,2.3,1.3,2.2,7.0,1.6,1.1,2.7,2.5,2.5,0.6,3.4,1.8,5560,70.0,0.7,3500,6.654676258992805,988.5714285714287,5000.0
WK0363KD,Museumkwartier,1550,143.0,wk0363kd,0.4,3.1,0.5,2.8,3.1,0.4,0.2,1.3,0.4,0.3,0.2,0.2,0.3,0.5,0.5,0.6,0.8,0.6,2.6,2.5,2.5,0.7,1.0,6.0,0.6,0.7,1.7,1.2,1.9,1.1,3.5,1.5,12640,139.0,1.39,4587,11.313291139240507,1115.1079136690648,3300.0000000000005
WK0363KE,Oude Pijp,630,135.0,wk0363ke,0.7,2.2,0.9,2.2,2.2,0.3,0.2,1.2,0.2,0.2,0.1,0.4,0.5,0.9,0.9,0.7,0.7,0.7,2.7,2.6,3.1,1.0,1.1,5.0,1.0,1.1,1.7,1.1,2.5,0.6,2.5,1.5,14865,68.0,0.68,1588,9.081735620585267,926.470588235294,2335.2941176470586
WK0363KF,Nieuwe Pijp,539,75.0,wk0363kf,0.4,2.1,0.6,2.1,2.1,0.3,0.2,1.0,0.2,0.3,0.1,0.4,0.3,0.4,0.6,0.4,0.5,0.5,2.1,1.9,2.9,0.8,1.4,4.7,0.9,0.9,2.2,0.9,2.9,0.6,2.8,1.8,12570,54.0,0.54,1108,5.966587112171838,998.148148148148,2051.8518518518517
WK0363KG,Zuid Pijp,504,32.0,wk0363kg,0.6,2.1,0.6,2.1,2.1,0.5,0.3,1.4,0.4,0.3,0.3,0.6,0.3,0.3,0.8,0.6,0.6,0.6,2.1,1.7,3.4,0.7,1.7,4.2,0.9,0.9,2.5,1.4,3.2,0.5,2.7,1.9,7920,39.0,0.39,1052,4.040404040404041,1292.3076923076922,2697.4358974358975
WK0363KH,Stadionbuurt,1192,78.0,wk0363kh,0.7,1.8,0.6,1.8,1.8,0.3,0.3,1.3,0.3,0.3,0.2,0.7,0.3,0.3,0.4,0.8,0.8,0.8,1.2,1.6,1.6,0.9,2.9,6.9,2.3,1.4,3.6,2.7,2.2,1.0,3.7,2.2,11770,107.0,1.07,2920,6.627017841971114,1114.018691588785,2728.971962616822
WK0363KJ,Apollobuurt,1186,63.0,wk0363kj,0.4,2.7,0.5,2.7,2.7,0.5,0.4,0.6,0.9,0.4,0.4,0.5,0.4,0.5,0.6,0.4,1.0,0.4,1.9,1.5,1.5,1.1,1.9,5.9,1.5,0.7,2.7,1.8,2.1,1.1,3.3,2.2,8825,94.0,0.94,2569,7.138810198300283,1261.7021276595744,2732.9787234042556
WK0363KK,Scheldebuurt,1287,79.0,wk0363kk,0.4,3.0,0.4,3.0,3.0,0.4,0.4,1.8,0.5,0.3,0.3,0.6,0.3,0.4,0.5,0.8,0.9,1.0,1.2,1.2,2.9,1.6,1.1,4.4,1.4,0.9,3.1,1.6,3.0,0.6,3.1,2.1,15000,101.0,1.01,2859,5.266666666666667,1274.2574257425742,2830.6930693069307
WK0363KL,IJselbuurt,433,28.0,wk0363kl,0.5,2.4,0.7,2.4,2.4,0.5,0.3,1.9,0.5,0.3,0.5,0.6,0.4,0.6,0.7,0.9,0.9,1.0,1.9,1.4,3.5,1.1,1.4,3.8,1.5,1.3,2.9,1.8,3.4,0.5,3.1,1.5,5225,29.0,0.29,706,5.358851674641148,1493.103448275862,2434.4827586206898
WK0363KM,Rijnbuurt,921,40.0,wk0363km,0.4,3.0,0.4,3.0,3.0,0.4,0.4,2.3,0.4,0.4,0.3,0.8,0.3,0.4,0.5,0.6,0.6,0.6,1.4,1.3,3.7,1.6,0.9,4.0,1.9,1.4,3.3,2.2,3.4,0.8,3.3,1.8,8985,110.0,1.1,2773,4.451864218141347,837.2727272727273,2520.9090909090905
WK0363KN,Prinses Irenebuurt e.o.,394,11.0,wk0363kn,0.6,2.1,0.7,2.1,2.1,0.7,0.6,0.9,0.8,0.4,0.4,0.5,0.4,0.7,0.8,0.4,0.5,0.4,1.5,0.9,0.9,1.5,2.4,6.4,2.1,0.4,3.2,2.3,1.5,0.7,2.7,2.6,1400,43.0,0.43,2753,7.857142857142858,916.2790697674419,6402.325581395349
WK0363KP,Zuidas,1506,131.0,wk0363kp,0.6,2.1,0.6,2.1,2.1,0.5,0.6,0.8,0.5,0.1,0.2,0.3,0.2,0.7,0.7,0.9,1.2,0.9,1.2,1.0,1.3,1.1,2.6,6.5,2.8,1.1,3.9,2.9,0.8,1.5,2.1,3.4,5225,217.0,2.17,3381,25.07177033492823,694.0092165898618,1558.0645161290322
WK0363KQ,Buitenveldert-West,2744,63.0,wk0363kq,0.5,1.8,0.5,1.8,1.8,0.4,0.4,1.1,0.7,0.5,0.3,0.6,0.4,0.6,0.7,0.7,0.7,0.7,1.6,2.1,2.2,1.1,3.6,7.5,3.4,1.8,3.8,4.1,1.3,1.1,1.6,4.0,14040,355.0,3.55,10917,4.487179487179487,772.9577464788733,3075.211267605634
WK0363KR,Buitenveldert-Oost,1800,42.0,wk0363kr,0.9,2.7,0.7,2.7,2.7,0.3,0.4,1.1,1.3,0.3,0.3,0.6,0.4,0.4,0.5,0.7,0.7,0.7,1.1,1.5,2.3,1.1,2.6,6.5,3.4,1.9,4.5,3.4,1.9,1.7,0.8,4.1,8305,170.0,1.7,11288,5.057194461167971,1058.8235294117646,6640.0
WK0363MA,Oostelijk Havengebied,2326,83.0,wk0363ma,0.9,3.4,1.1,3.4,3.4,1.0,0.7,1.2,0.7,0.5,0.3,0.7,0.4,0.5,0.8,1.1,1.1,1.2,3.9,2.3,3.1,1.7,3.2,3.7,2.1,1.9,3.3,3.2,2.2,2.6,3.0,2.5,20575,363.0,3.63,2417,4.034021871202916,640.771349862259,665.8402203856749
