wijkcode,wijknaam,aantal_lantaarns,Totaal misdrijven,wijkcode_clean,AfstandTotHuisartsenpraktijk_5,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15,AfstandTotGroteSupermarkt_24,AfstandTotOvDagelLevensmiddelen_28,AfstandTotWarenhuis_32,AfstandTotCafeED_36,AfstandTotCafetariaED_40,AfstandTotRestaurant_44,AfstandTotHotelED_48,AfstandTotKinderdagverblijf_52,AfstandTotBuitenschoolseOpvang_56,AfstandTotSchool_60,AfstandTotSchool_64,AfstandTotSchool_68,AfstandTotSchool_72,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,AfstandTotPodiumkunstenTotaal_99,AfstandTotPoppodium_103,AfstandTotBioscoop_104,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,AfstandTotBrandweerkazerne_114
WK0363KR,Buitenveldert-Oost,1800,42.0,wk0363kr,0.9,2.7,0.7,2.7,2.7,0.3,0.4,1.1,1.3,0.3,0.3,0.6,0.4,0.4,0.5,0.7,0.7,0.7,1.1,1.5,2.3,1.1,2.6,6.5,3.4,1.9,4.5,3.4,1.9,1.7,0.8,4.1
WK0363MA,Oostelijk Havengebied,2326,83.0,wk0363ma,0.9,3.4,1.1,3.4,3.4,1.0,0.7,1.2,0.7,0.5,0.3,0.7,0.4,0.5,0.8,1.1,1.1,1.2,3.9,2.3,3.1,1.7,3.2,3.7,2.1,1.9,3.3,3.2,2.2,2.6,3.0,2.5
WK0363MB,Weesperzijde,543,55.0,wk0363mb,0.7,1.2,0.7,1.2,1.2,0.5,0.4,1.7,0.5,0.3,0.1,0.5,0.5,0.6,0.6,0.6,0.8,0.6,3.1,1.4,3.3,1.3,0.6,3.4,1.7,1.0,2.0,1.4,2.7,1.3,1.8,1.5
WK0363MC,Oosterparkbuurt,1089,100.0,wk0363mc,0.4,0.7,0.4,0.7,0.7,0.4,0.3,1.4,0.3,0.3,0.2,0.5,0.3,0.4,0.5,0.5,0.6,0.5,3.4,1.4,3.3,1.0,0.8,3.0,1.3,0.6,1.5,1.2,2.1,1.1,1.6,1.3
WK0363MD,Transvaalbuurt,607,41.0,wk0363md,0.7,1.1,0.5,1.1,1.1,0.4,0.2,0.9,0.3,0.3,0.2,0.6,0.4,0.4,0.4,0.7,0.8,0.7,2.8,1.1,4.0,0.9,0.7,2.4,1.6,1.1,1.2,1.7,2.1,0.8,2.1,1.1
WK0363ME,Dapperbuurt,957,114.0,wk0363me,0.3,1.4,0.5,1.4,1.4,0.3,0.2,1.1,0.2,0.2,0.1,0.5,0.3,0.4,0.4,0.5,0.8,0.5,3.4,0.6,3.3,0.7,1.0,2.4,0.8,0.4,1.1,1.7,1.2,0.6,1.6,0.5
WK0363MF,Indische Buurt-West,894,54.0,wk0363mf,0.4,2.0,0.4,2.0,2.0,0.3,0.2,1.6,0.3,0.2,0.2,0.8,0.3,0.5,0.5,0.7,0.8,0.8,3.3,0.8,3.6,0.5,1.6,2.1,1.5,1.0,1.6,2.3,0.6,1.2,2.2,0.8
WK0363MG,Indische Buurt-Oost,1040,49.0,wk0363mg,0.5,2.5,0.6,2.5,2.5,0.5,0.4,1.6,0.4,0.4,0.3,1.0,0.3,0.4,0.3,0.5,0.5,1.3,2.9,1.3,3.9,0.5,2.0,2.1,1.9,1.4,1.9,2.8,0.7,1.7,2.7,1.3
WK0363MH,Zeeburgereiland/Bovendiep,1047,30.0,wk0363mh,0.6,4.8,2.7,4.8,4.8,0.5,2.1,2.8,2.6,0.4,0.8,2.5,0.5,0.5,0.5,2.6,2.6,3.4,0.9,3.6,5.0,2.9,4.4,4.6,4.1,3.9,4.3,4.9,3.1,3.3,4.9,3.6
WK0363MJ,IJburg-West,1598,40.0,wk0363mj,0.6,7.0,0.7,7.0,7.0,0.7,0.4,0.8,4.9,0.6,0.3,0.7,0.2,0.2,0.3,1.6,1.6,1.6,1.7,5.8,7.1,0.8,6.2,6.8,6.3,6.1,6.5,7.2,5.3,0.9,6.4,5.9
WK0363MK,IJburg-Oost,316,3.0,wk0363mk,0.9,9.0,0.9,7.3,9.0,0.8,0.8,2.3,5.8,0.8,0.8,1.0,0.6,0.7,0.8,1.0,1.0,1.0,2.5,5.7,7.9,1.7,5.0,8.2,6.3,6.1,8.5,9.2,6.2,2.0,4.9,5.7
WK0363ML,IJburg-Zuid,780,21.0,wk0363ml,0.6,8.4,0.6,7.7,8.4,0.6,0.5,1.7,6.0,0.5,0.5,0.9,0.2,0.4,0.4,0.6,0.6,0.6,2.7,6.1,8.1,1.4,5.4,8.1,6.7,6.5,7.9,8.6,6.4,1.4,5.3,6.1
WK0363MM,Frankendael,2271,96.0,wk0363mm,0.5,2.1,1.0,2.1,2.1,0.7,0.4,1.4,1.0,0.4,0.3,0.6,0.4,0.5,0.9,0.7,0.9,0.8,2.5,1.1,4.2,1.7,1.3,2.1,1.4,1.9,2.0,2.6,2.3,1.2,3.0,1.3
WK0363MN,Middenmeer,1954,86.0,wk0363mn,0.6,2.7,0.8,2.7,2.7,0.5,0.5,0.9,0.7,0.5,0.3,1.3,0.4,0.5,0.7,0.7,0.7,1.5,2.0,1.1,4.5,1.4,1.4,1.1,1.3,1.5,1.6,3.2,1.2,1.2,3.0,1.6
WK0363MP,Betondorp,871,12.0,wk0363mp,0.3,3.5,0.3,3.5,3.5,1.4,0.2,1.4,0.3,1.1,0.2,2.2,0.3,0.4,1.4,1.7,1.7,2.3,0.8,2.1,3.8,1.6,1.6,1.6,1.3,1.9,2.9,4.1,1.7,1.5,3.0,1.8
WK0363MQ,Omval/Overamstel,1224,50.0,wk0363mq,1.7,3.6,1.1,3.6,3.6,1.7,0.7,3.2,1.7,0.7,0.4,0.6,0.8,0.9,0.9,1.9,1.9,2.1,1.5,1.8,3.0,2.4,2.3,3.8,2.9,2.8,3.8,3.6,3.8,2.2,4.0,2.0
WK0363NA,Oostzanerwerf,1774,41.0,wk0363na,0.9,3.9,0.9,3.9,3.9,0.7,0.7,2.5,1.6,0.7,0.9,2.0,0.7,0.7,0.7,1.2,1.2,3.8,1.1,6.7,6.7,0.9,4.3,11.9,4.6,1.6,4.0,5.6,4.7,4.9,8.3,2.6
WK0363NB,Noordelijke IJ-oevers-West,1886,86.0,wk0363nb,0.7,2.8,0.6,2.8,2.8,0.6,0.7,2.0,0.5,0.3,0.3,0.6,0.7,0.8,1.1,1.1,1.3,1.4,3.6,5.9,5.9,1.5,2.1,8.9,1.3,1.1,1.5,2.9,2.9,4.2,5.6,1.9
WK0363NC,Tuindorp Oostzaan,2282,39.0,wk0363nc,0.6,3.6,1.0,3.6,3.6,0.9,0.5,1.4,1.5,0.8,0.6,1.7,0.4,0.5,0.6,1.7,1.7,3.0,2.4,6.8,6.8,1.7,3.1,10.3,3.0,1.1,3.1,4.6,4.6,5.0,7.0,1.3
WK0363ND,Kadoelen,781,14.0,wk0363nd,1.1,2.9,1.1,2.9,2.9,1.0,0.9,1.9,0.7,0.5,0.6,2.7,0.6,0.5,0.6,2.0,2.0,2.8,1.3,7.4,7.4,1.1,3.6,11.1,3.9,1.6,3.0,4.7,3.8,4.4,7.9,2.4
WK0363NE,Banne Buiksloot,2355,59.0,wk0363ne,0.8,0.9,0.7,0.9,0.9,0.8,0.6,2.9,0.7,0.9,0.7,2.3,0.4,0.6,0.7,1.0,1.0,1.0,1.9,6.5,6.5,0.9,2.0,9.6,2.7,0.9,1.1,2.9,4.0,2.5,6.3,3.1
WK0363NF,Nieuwendammerdijk/Buiksloterdijk,271,4.0,wk0363nf,1.1,3.0,0.8,3.0,3.0,1.3,0.5,1.8,0.7,0.6,0.6,1.1,0.5,0.8,0.9,1.0,1.0,1.1,2.8,5.3,5.3,1.9,2.1,8.1,1.4,3.0,3.0,1.7,2.1,2.1,5.1,2.9
WK0363NG,Elzenhagen,1004,30.0,wk0363ng,1.4,1.5,1.3,1.5,1.5,0.9,0.9,2.1,1.4,0.6,1.2,1.6,0.4,0.5,0.5,0.6,0.6,0.6,1.9,5.5,5.5,2.0,1.7,8.5,2.5,1.9,2.0,1.8,3.2,1.4,5.3,2.4
WK0363NH,Buikslotermeer,2063,94.0,wk0363nh,0.6,2.2,0.5,2.2,2.2,0.5,0.6,1.1,0.7,0.4,0.4,1.5,0.3,0.4,0.5,1.0,1.0,1.1,2.2,5.8,5.8,1.8,2.2,8.6,2.4,2.7,2.8,0.9,3.1,0.8,5.6,1.6
WK0363NJ,Waterlandpleinbuurt,1885,51.0,wk0363nj,0.5,3.3,0.7,3.3,3.3,0.5,0.5,1.8,0.6,0.6,0.6,2.5,0.3,0.4,0.4,0.7,0.7,2.4,1.5,6.5,7.0,0.7,3.5,7.6,3.0,3.7,3.8,1.9,3.7,1.5,6.8,0.7
WK0363NK,Volewijck,1700,70.0,wk0363nk,0.6,2.3,0.7,2.3,2.3,0.6,0.2,2.7,0.4,0.3,0.2,0.7,0.4,0.6,0.6,0.6,0.6,0.8,3.5,5.1,5.1,0.8,1.0,8.1,1.4,1.3,1.3,1.9,2.1,3.2,4.8,2.7
WK0363NL,IJplein/Vogelbuurt,1456,44.0,wk0363nl,0.6,3.3,0.5,3.3,3.3,0.4,0.2,2.5,0.4,0.4,0.3,0.4,0.5,0.5,0.4,0.6,0.6,0.6,3.8,4.9,4.9,1.1,2.1,8.0,0.9,2.1,2.1,1.0,1.0,2.9,4.7,3.4
WK0363NM,Tuindorp Buiksloot,322,6.0,wk0363nm,0.8,2.6,0.5,2.6,2.6,1.1,0.4,1.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.5,2.7,5.1,5.1,2.1,1.9,8.1,0.9,3.0,3.0,1.4,1.6,1.8,4.9,2.9
WK0363NN,Tuindorp Nieuwendam,735,11.0,wk0363nn,0.4,3.2,0.5,3.2,3.2,0.9,0.3,1.6,0.6,0.5,0.3,1.6,0.3,0.5,0.7,1.2,1.2,1.5,2.0,6.0,6.0,0.9,2.6,7.8,2.1,3.7,3.7,1.8,2.7,1.6,5.8,1.4
WK0363NP,Noordelijke IJ-oevers-Oost,243,14.0,wk0363np,0.6,3.5,0.6,3.5,3.5,0.2,0.4,2.4,0.2,0.3,0.1,0.4,0.3,0.2,0.6,0.8,0.8,0.9,3.6,4.8,4.8,1.3,2.3,7.7,0.8,2.4,2.4,0.6,0.8,2.8,4.6,3.3
WK0363NQ,Waterland,1005,14.0,wk0363nq,2.4,6.3,3.6,6.3,6.3,2.2,3.4,4.8,3.6,3.1,1.7,2.8,1.9,1.4,2.0,3.8,3.8,5.0,2.7,7.1,8.0,3.7,6.0,8.1,5.5,6.3,6.6,5.0,5.8,4.5,8.0,3.7
WK0363SA,Driemond,381,4.0,wk0363sa,2.6,7.4,2.6,3.9,7.4,2.9,2.8,3.0,2.9,0.4,2.3,2.5,0.3,0.3,0.4,3.0,3.0,3.2,0.7,3.6,3.6,2.9,2.6,8.3,3.1,3.3,9.5,7.6,2.6,5.9,5.0,0.4
WK0363SB,Bloemendalerpolder,925,6.0,wk0363sb,1.1,11.0,2.0,1.1,11.0,2.1,1.9,2.5,2.1,1.2,1.6,2.1,0.7,0.7,1.9,2.2,2.2,2.2,2.8,1.5,1.5,2.6,4.5,12.3,2.7,2.1,13.6,11.1,4.5,10.0,9.0,2.9
WK0363SC,Weesp-Noordwest,1174,28.0,wk0363sc,0.6,9.7,0.6,1.4,9.7,0.6,0.6,1.3,1.1,0.4,0.4,0.8,0.4,0.5,0.5,0.7,0.7,0.7,1.5,1.2,1.2,1.4,3.2,11.3,1.6,1.0,12.6,9.8,3.2,9.0,8.0,1.9
WK0363SD,Weesp Binnenstad/Zuid,820,22.0,wk0363sd,0.7,9.3,0.6,1.3,9.3,0.7,0.5,0.8,0.5,0.5,0.4,0.8,0.6,0.6,0.6,0.8,0.8,1.2,1.0,1.1,1.1,0.7,2.8,10.9,0.7,0.8,12.2,9.5,2.8,8.6,7.7,0.9
WK0363SE,Aetsveld/Oostelijke Vechtoever,856,11.0,wk0363se,1.0,9.6,1.4,2.6,9.6,1.0,1.6,1.9,1.0,1.0,1.0,2.1,1.0,0.9,1.0,1.8,1.8,2.3,0.7,2.4,2.4,1.7,3.1,11.2,1.8,2.0,12.2,9.5,3.1,8.7,7.9,1.6
WK0363TA,Amstel III/Bullewijk,2130,139.0,wk0363ta,0.5,1.0,1.1,1.0,1.0,0.8,0.5,3.0,1.5,0.6,0.4,1.0,0.6,1.3,1.4,2.5,2.5,2.5,1.0,1.0,4.5,2.9,2.9,8.4,5.6,2.7,8.4,2.6,6.4,6.7,3.1,3.0
WK0363TB,Venserpolder,920,35.0,wk0363tb,0.6,4.5,0.6,4.5,4.5,0.7,0.6,1.9,1.4,0.5,0.6,1.2,0.4,0.7,0.7,0.7,0.7,1.3,2.2,1.1,1.1,1.8,1.9,4.8,4.3,2.1,6.1,2.7,2.7,3.0,2.7,2.8
WK0363TC,Amsterdamse Poort e.o.,1703,136.0,wk0363tc,0.4,3.8,0.5,3.8,3.8,0.7,0.4,1.1,1.0,0.5,0.4,0.8,0.5,0.7,0.6,0.9,1.0,0.9,2.0,1.4,2.0,1.0,1.0,5.4,4.6,1.1,6.7,2.2,3.4,3.7,2.8,2.4
WK0363TD,H-buurt,1016,39.0,wk0363td,0.6,2.7,1.1,2.7,2.7,1.0,0.9,1.2,1.1,0.9,0.6,0.9,0.5,0.8,0.8,2.0,2.0,2.0,1.6,1.3,3.0,1.2,1.1,6.6,5.4,1.0,7.9,2.0,4.6,4.9,2.9,2.0
WK0363TE,Ganzenhoef e.o.,1351,52.0,wk0363te,0.6,4.8,0.7,4.8,4.8,0.7,0.6,2.0,1.6,0.6,0.5,1.7,0.4,0.6,0.9,0.9,0.9,0.9,2.2,2.0,2.9,2.0,1.7,4.9,4.6,1.8,6.2,3.3,2.8,3.0,2.2,2.5
WK0363TF,Geerdinkhof/Kantershof,1463,19.0,wk0363tf,0.6,5.0,1.0,5.0,5.0,1.1,0.9,2.9,1.4,0.9,0.9,1.9,0.3,0.4,0.4,1.8,1.8,1.8,1.9,2.9,4.3,2.9,2.6,5.8,5.6,2.7,7.1,4.2,3.7,3.8,2.8,2.9
WK0363TG,Bijlmermuseum,878,46.0,wk0363tg,0.3,4.2,0.4,4.2,4.2,0.4,0.3,2.4,1.0,0.4,0.4,1.4,0.3,0.4,0.9,1.4,1.4,1.4,1.5,2.8,4.1,2.3,2.2,6.1,5.7,2.1,7.3,3.6,3.9,4.0,3.0,2.1
WK0363TH,K-buurt,1308,29.0,wk0363th,0.5,4.0,0.8,4.0,4.0,0.9,0.7,2.5,1.0,0.9,0.9,1.5,0.6,0.8,1.1,1.5,1.5,1.5,1.3,3.0,4.1,2.4,2.3,6.3,5.8,2.2,7.6,3.7,4.2,4.3,3.3,1.8
WK0363TJ,Holendrecht,1905,40.0,wk0363tj,0.9,1.4,0.9,1.4,1.4,0.7,0.8,2.8,1.0,0.7,0.8,2.1,0.5,0.7,0.8,1.7,1.7,1.7,1.8,0.9,4.6,2.5,2.6,8.1,6.6,2.5,9.1,3.5,6.1,6.4,2.9,2.4
WK0363TK,Nellestein,1059,18.0,wk0363tk,0.9,3.5,1.5,3.5,3.5,1.7,1.4,2.9,1.6,1.0,1.7,1.0,0.8,0.4,0.8,2.0,2.0,2.0,0.6,3.0,4.7,2.8,2.7,7.1,5.9,2.6,8.4,4.1,5.0,5.3,2.6,0.6
WK0363TL,Reigersbos,1743,37.0,wk0363tl,1.0,2.5,1.0,2.5,2.5,0.9,0.8,3.5,1.0,1.0,0.9,2.8,0.8,0.9,0.9,1.5,1.5,1.5,2.2,2.3,5.7,1.5,3.7,8.7,7.5,3.6,9.8,4.6,6.8,7.1,2.6,2.3
WK0363TM,Gein,2201,33.0,wk0363tm,0.8,3.5,0.9,3.5,3.5,1.0,0.9,4.3,2.0,0.9,1.0,3.4,0.7,0.7,0.7,2.1,2.1,2.1,2.5,3.0,6.1,2.2,4.1,8.7,8.0,4.0,9.9,5.4,6.8,7.0,1.3,2.3
