Wijk;Totaal misdrijven
Haarlemmerbuurt;67
Jordaan;151
Grachtengordel-West;78
Burgwallen-Nieuwe Zijde;422
Burgwallen-Oude Zijde;282
Nieuwmarkt/Lastage;151
Grachtengordel-Zuid;207
De Weteringschans;159
Weesperbuurt/Plantage;72
Oostelijke Eilanden/Kadijken;86
Havens-West;21
Coenhaven/Minervahaven;29
Sloterdijk-West;18
Spaarndammerbuurt/Zeeheldenbuurt;88
Houthavens;20
De Kolenkit;54
Landlust;95
Erasmuspark;35
Centrale Markt;14
Staatsliedenbuurt;48
Frederik Hendrikbuurt;40
Van Galenbuurt;19
Geuzenbuurt;35
Hoofdweg e.o.;53
Chassébuurt;20
Bellamybuurt;47
Da Costabuurt;43
Westindische Buurt;36
Van Lennepbuurt;39
Overtoomse Sluis;43
Helmersbuurt;62
Vondelparkbuurt;38
Sloterdijk Nieuw-West;120
Geuzenveld;65
Slotermeer-West;55
Slotermeer-Noordoost;65
Slotermeer-Zuidoost;46
Lutkemeer/Ookmeer;12
De Aker;32
De Punt;36
Osdorp-Midden;66
Osdorp-Oost;82
Slotervaart-Noord;32
Overtoomse Veld;74
Slotervaart-Zuid;47
Westlandgracht;66
Sloten/Nieuw-Sloten;56
Hoofddorppleinbuurt;47
Schinkelbuurt;15
Willemspark;38
Museumkwartier;125
Oude Pijp;148
Nieuwe Pijp;107
Zuid Pijp;40
Stadionbuurt;73
Apollobuurt;79
Scheldebuurt;67
IJselbuurt;31
Rijnbuurt;37
Prinses Irenebuurt e.o.;7
Zuidas;100
Buitenveldert-West;76
Buitenveldert-Oost;35
Oostelijk Havengebied;98
Weesperzijde;62
Oosterparkbuurt;74
Transvaalbuurt;58
Dapperbuurt;109
Indische Buurt-West;67
Indische Buurt-Oost;66
Zeeburgereiland/Bovendiep;26
IJburg-West;37
IJburg-Oost;6
IJburg-Zuid;23
Frankendael;102
Middenmeer;100
Betondorp;11
Omval/Overamstel;44
Oostzanerwerf;56
Noordelijke IJ-oevers-West;70
Tuindorp Oostzaan;31
Kadoelen;11
Banne Buiksloot;60
Nieuwendammerdijk/Buiksloterdijk;4
Elzenhagen;18
Buikslotermeer;90
Waterlandpleinbuurt;41
Volewijck;60
IJplein/Vogelbuurt;54
Tuindorp Buiksloot;12
Tuindorp Nieuwendam;5
Noordelijke IJ-oevers-Oost;9
Waterland;11
Driemond;5
Bloemendalerpolder;6
Weesp-Noordwest;30
Weesp Binnenstad/Zuid;17
Aetsveld/Oostelijke Vechtoever;14
Amstel III/Bullewijk;129
Venserpolder;24
Amsterdamse Poort e.o.;105
H-buurt;41
Ganzenhoef e.o.;56
Geerdinkhof/Kantershof;18
Bijlmermuseum;52
K-buurt;34
Holendrecht;46
Nellestein;25
Reigersbos;41
Gein;43
